keyword,translated_keyword,0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
便利 度,Convenience,2,0,0,0,0,2,0
便利 房间,Convenience Room,8,0,0,0,0,7,0
便利 早餐,Convenience breakfast,2,0,0,0,0,2,0
便利 服务,Convenience service,4,0,0,0,0,4,0
便利 机场,Convenience airport,3,0,0,0,0,2,0
便利 楼下,Convenient downstairs,2,0,0,0,0,0,0
便利 步行,Convenient on foot,3,0,0,0,0,3,0
便利 热情,Convenience and passion,2,0,0,0,0,2,0
便利 环境,Convenient environment,8,0,0,0,0,7,0
便利 生活,Convenient life,11,0,0,0,2,9,0
便利 站,Convenience station,2,0,0,0,0,2,0
便利 美食,Convenience,2,0,0,0,0,2,0
便利 设施,Conveniences,6,0,0,0,3,2,0
便利 购物,Convenience shopping,78,0,0,0,7,69,0
便利 超市,Convenience supermarket,4,0,0,0,0,3,0
便利 车站,Convenient station,3,0,0,0,0,2,0
便利 酒店,Convenience Hotel,42,0,0,3,8,30,0
便利 重要,Convenient important,2,0,0,0,0,2,0
便利 铁线,Convenience,2,0,0,0,0,2,0
便利 附近,Convenient nearby,3,0,0,0,0,0,0
便利 餐饮,Convenience,14,0,0,0,0,12,0
便利 饮食,Convenience,4,0,0,0,2,2,0
便利 鸡,Convenience chicken,2,0,0,0,0,2,0
出行,Travel,2274,0,11,64,302,1843,54
卫生,health,2279,0,33,201,450,1568,27
吃,eat,2768,0,20,97,399,2189,63
周边,Surrounding,3090,0,29,127,486,2379,69
园林,garden,9,0,0,0,0,9,0
地方,local,2156,0,16,111,357,1631,41
地铁,subway,4321,0,66,164,801,3207,83
地铁站,subway station,3012,0,51,133,639,2130,59
坐,sit,1868,0,10,81,297,1447,33
塔楼,tower,22,0,0,0,0,22,0
大,Big,9844,0,76,348,1277,7828,315
大 一如既往,Big as always,2,0,0,0,0,2,0
大 上,Big up,3,0,0,0,0,3,0
大 不足,Big insufficient,6,0,0,0,0,6,0
大 东,Dadong,3,0,0,0,0,2,0
大 中心,Big center,30,0,0,0,3,27,0
大 中转站,Big transfer station,3,0,0,0,0,3,0
大 主楼,Main building,3,0,0,0,0,3,0
大 书店,Big bookstore,2,0,0,0,0,0,0
大 井町,Oimachi,2,0,0,0,2,0,0
大 井町站,Oimachi Station,2,0,0,0,2,0,0
大 交通,Big traffic,5,0,0,0,0,5,0
大 享受,Great enjoyment,4,0,0,0,3,0,0
大 京都站,Kyoto Station,4,0,0,0,0,4,0
大 亮点,Big highlights,25,0,0,0,0,23,0
大 人,grown ups,19,0,0,0,3,16,0
大 人员,Large staff,4,0,0,0,0,4,0
大 人家,Lord,2,0,0,0,0,0,0
大 人间,Big world,17,0,0,0,0,17,0
大 仓,Okura,18,0,0,0,0,18,0
大 价位,Big price,2,0,0,0,0,2,0
大 价格,Big price,11,0,0,0,2,9,0
大 优势,Big advantage,36,0,2,3,6,25,0
大 优点,Big advantage,29,0,0,2,7,20,0
大 位置,Great location,15,0,0,0,0,13,0
大 余地,Large room,10,0,0,0,0,9,0
大 便利,Great convenience,20,0,0,0,4,16,0
大 停车场,Large parking lot,3,0,0,0,0,3,0
大 公交,Big bus,3,0,0,0,0,2,0
大 公司,big company,18,0,0,0,3,15,0
大 公园,Big park,9,0,0,0,0,7,0
大 公寓,Large apartment,2,0,0,0,2,0,0
大 关键,Big key,6,0,0,0,2,4,0
大 冬天,Big winter,10,0,0,0,0,8,0
大 冰箱,Large refrigerator,2,0,0,0,0,0,0
大 出水量,Large water output,2,0,0,0,0,2,0
大 出行,Big trip,2,0,0,0,0,0,0
大 函馆,Great Hakodate,8,0,0,0,0,8,0
大 分,Oita,2,0,0,0,0,0,0
大 分站,Osub Station,4,0,0,0,3,0,0
大 前台,Big front desk,4,0,0,0,0,4,0
大 力度,Great strength,2,0,0,0,0,2,0
大 动静,Big movement,2,0,0,0,0,2,0
大 包,Big bag,50,0,0,2,5,42,0
大 区,Region,7,0,0,0,0,5,0
大 区别,Big difference,2,0,0,0,0,2,0
大 区域,Large area,4,0,0,0,0,3,0
大 单人,Big single,2,0,0,0,0,2,0
大 单人房,Large single room,2,0,0,0,2,0,0
大 单人间,Large single room,8,0,0,0,4,3,0
大 卖场,Hypermarket,10,0,0,2,3,5,0
大 卖点,Big selling point,3,0,0,0,0,2,0
大 卧室,Large bedroom,3,0,0,0,0,2,0
大 卫生,Great hygiene,3,0,0,0,0,2,0
大 卫生间,Big toilet,104,0,0,7,14,70,13
大 厕所,Big toilet,11,0,0,0,2,7,2
大 厨房,Big kitchen,2,0,0,0,0,0,0
大 去,Big go,3,0,0,0,0,3,0
大 友,Big friend,4,0,0,0,3,0,0
大 双人床,Large double bed,5,0,0,0,2,3,0
大 双人房,Large double room,4,0,0,0,0,3,0
大 双人间,Large double room,6,0,0,0,3,3,0
大 反差,Great contrast,3,0,0,0,0,3,0
大 变化,Big change,2,0,0,0,0,0,0
大 号,Large number,4,0,0,0,0,3,0
大 吃,Big eat,3,0,0,0,0,2,0
大 吸烟室,Big smoking room,2,0,0,0,0,0,0
大 味,Big taste,3,0,0,0,2,0,0
大 味儿,Big taste,2,0,0,0,0,0,0
大 味道,Big taste,28,0,0,2,5,20,0
大 品牌,famous brand,26,0,0,0,0,24,0
大 品种,Large variety,2,0,0,0,0,0,0
大 商,Big business,2,0,0,0,0,2,0
大 商业区,Large business district,3,0,0,0,0,2,0
大 商业街,Big commercial street,7,0,0,0,0,7,0
大 商圈,Big business district,5,0,0,0,0,5,0
大 商场,Big market,183,0,3,3,16,159,2
大 商城,Big mall,9,0,0,0,3,6,0
大 商店,Big store,13,0,0,0,2,11,0
大 噪音,Loud noise,23,0,0,3,7,11,0
大 困难,Big difficulty,2,0,0,0,0,2,0
大 国,Big country,27,0,0,0,4,21,0
大 国药,Sinopharm,19,0,0,0,2,17,0
大 圈,Big circle,22,0,0,0,6,15,0
大 圈子,Big circle,8,0,0,0,0,6,0
大 地方,Big place,21,0,0,0,4,17,0
大 地段,Large area,2,0,0,0,0,2,0
大 地铁,Big subway,5,0,0,0,4,0,0
大 地铁站,Metro station,14,0,0,0,0,13,0
大 场地,Large venue,5,0,0,0,0,5,0
大 场所,Big place,2,0,0,0,2,0,0
大 坂,Osaka,17,0,0,0,0,16,0
大 坡,Big slope,4,0,0,0,0,4,0
大 城,Big city,5,0,0,0,3,2,0
大 城市,Big city,28,0,0,3,10,14,0
大 堆,Big pile,12,0,0,0,0,11,0
大 塚,Otsuka,2,0,0,0,0,2,0
大 声音,Loud voice,20,0,0,0,5,15,0
大 外观,Large appearance,2,0,0,0,0,2,0
大 夜景,Big night view,4,0,0,0,0,4,0
大 大厅,Big hall,11,0,0,2,0,8,0
大 大堂,Large lobby,26,0,0,0,4,20,0
大 大小,Big size,4,0,0,0,0,2,0
大 天桥,Big bridge,2,0,0,0,0,0,0
大 头,Big head,3,0,0,0,3,0,0
大 套房,Large suite,3,0,0,0,0,3,0
大 套间,Large suite,4,0,0,0,0,3,0
大 好处,Big benefit,4,0,0,0,0,4,0
大 好评,Great praise,3,0,0,0,0,3,0
大 姐姐,big sister,2,0,0,0,0,0,0
大 学区,Big school district,2,0,0,0,0,0,0
大 孩子,Big boy,5,0,0,0,0,5,0
大 宝宝,Big baby,2,0,0,0,0,2,0
大 实惠,Great affordable,4,0,0,0,0,4,0
大 客房,Large room,13,0,0,0,3,9,0
大 客流,Large passenger flow,2,0,0,0,0,2,0
大 家,Big home,28,0,0,0,6,21,0
大 家庭,extended family,2,0,0,0,0,0,0
大 宾馆,Big hotel,5,0,0,0,2,3,0
大 小孩,Big child,2,0,0,0,0,2,0
大 小时,Big hours,5,0,0,0,0,3,0
大 小樽,Big Otaru,5,0,0,0,0,5,0
大 尺寸,large size,4,0,0,0,0,2,0
大 屋,Big house,6,0,0,2,0,4,0
大 屋子,Big house,10,0,0,0,4,6,0
大 山,Mountain,3,0,0,0,0,3,0
大 差别,Big difference,5,0,0,0,0,4,0
大 差异,Big difference,10,0,0,0,0,10,0
大 差距,Big gap,11,0,0,0,0,10,0
大 巴士,Big bus,3,0,0,0,0,3,0
大 市场,Big market,2,0,0,0,0,2,0
大 希望,Big hope,4,0,0,0,0,4,0
大 带,Large belt,2,0,0,0,0,2,0
大 帮助,Great help,8,0,0,0,0,8,0
大 年纪,Old age,8,0,0,0,0,8,0
大 广场,Big square,3,0,0,0,0,0,0
大 床,big bed,772,0,10,30,140,577,15
大 床单,Large sheets,2,0,0,0,2,0,0
大 床房,King bed room,7,0,0,0,0,6,0
大 库,Large library,2,0,0,0,0,0,0
大 店,Big shop,58,0,0,2,14,40,2
大 店面,Big store,2,0,0,0,0,2,0
大 异味,Big smell,2,0,0,0,0,2,0
大 影响,Big impact,8,0,0,0,3,3,0
大 忙,Very busy,4,0,0,0,0,3,0
大 态度,Big attitude,4,0,0,0,0,4,0
大 性价比,Great value for money,2,0,0,0,0,2,0
大 总体,Big overall,4,0,0,0,0,3,0
大 惊喜,big surprise,9,0,0,0,2,7,0
大 想象,Big imagination,7,0,0,0,2,3,0
大 感受,Great feeling,7,0,0,0,0,4,0
大 感觉,Big feeling,23,0,0,5,3,14,0
大 房,Big room,82,0,0,2,11,64,4
大 房价,Big house price,4,0,0,0,0,2,0
大 房型,Large room type,13,0,0,0,4,9,0
大 房子,big house,8,0,0,0,0,6,0
大 房间,Big room,3197,0,11,76,316,2663,131
大 手,big hand,3,0,0,0,0,2,0
大 折扣,Big discounts,3,0,0,0,0,3,0
大 招牌,Big signboard,5,0,0,0,0,4,0
大 按摩浴缸,Big jacuzzi,2,0,0,0,0,2,0
大 排档,Food stall,2,0,0,0,0,2,0
大 改善,Big improvement,2,0,0,0,0,2,0
大 教堂,Big church,2,0,0,0,0,2,0
大 整体,Big overall,2,0,0,0,0,2,0
大 斜坡,Big slope,3,0,0,0,0,2,0
大 方,Generous,6,0,0,0,0,6,0
大 方便,Big convenient,6,0,0,0,0,6,0
大 方面,Big aspect,2,0,0,0,0,0,0
大 旁边,Big beside,2,0,0,0,0,2,0
大 旅行箱,Big suitcase,2,0,0,0,0,0,0
大 早餐,Big breakfast,8,0,0,0,0,8,0
大 晚上,Big night,4,0,0,0,0,3,0
大 景区,Large scenic area,3,0,0,0,0,2,0
大 景点,Big attractions,20,0,0,0,2,17,0
大 景色,Great view,2,0,0,0,0,0,0
大 景观,Large landscape,3,0,0,0,0,3,0
大 朋友,Big friend,2,0,0,0,0,2,0
大 服务,Great service,25,0,0,0,2,21,2
大 期待,Big looking forward,4,0,0,0,0,4,0
大 期望,Big expectations,2,0,0,0,0,2,0
大 机场,Big airport,13,0,0,0,3,9,0
大 村,Big village,2,0,0,0,0,2,0
大 松本,Great Matsumoto,2,0,0,0,0,2,0
大 板,Slabs,28,0,0,0,6,21,0
大 枢纽,Big hub,12,0,0,0,0,12,0
大 柱子,Big pillar,2,0,0,0,0,2,0
大 标准,Big standard,2,0,0,0,0,2,0
大 标准间,Large Standard Room,2,0,0,0,0,2,0
大 标称,Large nominal,2,0,0,0,0,2,0
大 格局,Big pattern,2,0,0,0,0,2,0
大 桌子,Big table,3,0,0,0,0,2,0
大 桥,Big bridge,2,0,0,0,0,2,0
大 楼,Big building,4,0,0,0,0,4,0
大 楼下,Big downstairs,3,0,0,0,0,3,0
大 欺客,Big bully,3,0,0,0,0,3,0
大 毛巾,Big towel,5,0,0,0,0,3,2
大 气,Atmosphere,48,0,0,0,0,44,3
大 气味,Big smell,2,0,0,0,0,2,0
