hotel_id,comment_id,sentence_num,sentence,emotion_val,date
850,116002,2,"We absolutely loved it. The room was very generous in size and we could have our daughter on an extra bed without it taking over the living area. The bathroom was spacious with a lovely cedar bath and we loved those heated toilet seats! What made the hotel exceptional for us was the fantastic service from the women at reception. Almost each night we would ask for a restaurant recommendation based on what we felt like eating and they always came up with something delicious. They booked the restaurant for us and organised the taxi, calling our room when it came and advising the driver in Japanese where to take us.",1,2012-10-14
95,53620,2,"There is free unlimited mineral water in the lobby, free wifi in the lobby and a cabled connection in the room.",1,2013-08-30
95,53620,3,"The bathroom is small,",0,2013-08-30
95,53620,4,but clean. Breakfast was included in the room rate we had and was in buffet form.,1,2013-08-30
95,53620,5,"Simple,",0,2013-08-30
95,53620,6,but sufficient. The staff was very kind and helpful. It is in very close proximity of metro station G04 on the Ginsa line and not very far from Rippongi. Local mini marts and restaurants are as we'll nearby.,1,2013-08-30
95,53620,8,"So when visiting Tokyo, this is a perfect choice to stay.",1,2013-08-30
5137,223005,2,"and we had an excellent time. The owners were very accomodating, even preparing a special traditional New Year's breakfast as a treat for us- which was a very nice gesture. The ryokan is extremely conveniently situated within walking distance of the Hiroshima peace park and museum and excellent shopping and eating. The rooms are comfortable, very clean and also very good value for money.",1,2013-01-22
5137,223005,4,but our futons were warm and the rooms had good heating. I wouldnt hesitate to recommend this ryokan-,1,2013-01-22
5137,223005,6,They even sent us a thankyou email upon our return. We will definitely be returning- Hiroshima is a great town and this ryokan an excellent choice of accomodation.,1,2013-01-22
3941,208951,2,"It was one of the best hotels that we stayed during our trip. It was extremely clean, peaceful and the hotel Hosts made us feel super welcome. This is a beautiful hot spring ryokan that left a beautiful long-lasting impression on us. Both dinner and breakfast were extremely well presented and delicious, served in our own private room. Would highly recommend.",1,2014-06-10
420,93447,1,"We were extremely pleased with everything - design, size of the room, comfort, service. Needles to say Japanese bath was a highlight of this very special stay! After busy days of sightseeing the hotel offered a welcomed tranquillity. We would stay at any Hoshinoya now in different locations without further research as we are confident they are doing a terrific job! Bravo!",1,2017-07-19
1245,146370,1,"Good location - situated in the business park area of Osaka, nice surrounding, near Osaka Castle and easy access to majoy train lines around Kyobashi area. Clean room, comfortable bed, friendly staff.....didnt have any issue during my 4 nights stay.",1,2010-11-13
1245,146370,2,The only area for improvement would be to have wireless internet access in lobby or room.,0,2010-11-13
972,132746,2,"but was pleasantly surprise soon as we arrived. The staff was nice and friendly, the room was very spacious (10 tatami mats) and our 17 month old baby was very happy running around the room without us worrying about her falling off beds or bumping into something. A good room style if travelling with a toddler. Breakfast was provided as it was sufficient.",1,2016-05-17
972,132746,3,Limited selection,0,2016-05-17
972,132746,4,"but good enough. Location is very good, close to a main road with a subway station, a bakery, a 7 eleven and a nice restaurant that is not too expensive but serves good food",1,2016-05-17
972,132746,6,Only 10-15mins walk to Pontocho (or ponchoto) alley which offers good range of dining and very vibrant at night. Not too far from Nishiki Market,1,2016-05-17
972,132746,8,"All in all, a very nice stay and will definitely recommend.",1,2016-05-17
33,31848,1,"Rooms need updating, Internet speed is slow and the room service is very expensive.",0,2013-01-17
33,31848,2,"The hotel itself is well located to transport, shops and places to eat.",1,2013-01-17
33,31848,3,"The hotel only caters for two English speaking channels,",0,2013-01-17
1236,141641,1,"The location of the hotel is absolutely fantastic since it is near Namba station. This means that we can go anywhere conveniently. Also, at the deck of the hotel is the Italian Resterant and bar with a spectacular view.",1,2013-07-23
1236,141641,2,"However, the size of the toom is not that impressive.",0,2013-07-23
8653,243987,2,"The ryokan is at an altitude of 1,800m with great views of the surrounding snow capped mountains n ski slopes. The room was large, clean with attached toilet. There are 3 Onsen locations, each with rotenburos, and total of 8 baths for each gender. Water quality is very good, milky white from the sulphur and hot. Dinner was buffet style with very good selection of food including pretty good roast beef, karaage, tempura and good choice of desert.",1,2013-04-14
8653,243987,3,We took a walk along the trails,1,2013-04-14
8653,243987,4,but had to turn back as the upper sections were still snow bound.,0,2013-04-14
8653,243987,5,This package deal was very good value compared the similar priced one we took earlier to an Edo period historic but derelict ryokan in Shima which served bento box meals. This ryokan is worthy of a revisit in autumn.,1,2013-04-14
514,97681,1,"First, the good points: - Excellent location; 5 minutes walk to the heart of Roppongi; 10 minutes walk to the Roppongi train station. Being located outside the heart of Roppongi means no noise from the street at night - Plenty of restaurants, cafes, and all night convenience stores on the hotel's doorstep - Friendly and helpful staff, who mostly speak reasonable English - Hotel is very new (and clean) - Very comfortable bed - Free wifi in the rooms",1,2013-08-03
514,97681,2,"Now for the not so good points: - Rooms are small, although no doubt typical of hotel rooms of this price in Tokyo.",0,2013-08-03
514,97681,4,"and this was still quite small - Unable to make outside calls from the phone in the room (not even to landlines in Tokyo); this is a ridiculous hotel policy which must be changed - Breakfast is very disappointing; mostly comprises vegetarian dishes that seem more designed to serve as decoration than to be eaten - Hotel rooms don't include instant coffee, sugar, or cups with handles; instead, Japanese tea, with handle-less bowl type cups are included (no doubt with Japanese guests in mind) - Furniture in rooms is a little on the cheap side",0,2013-08-03
514,97681,5,"(although as above the bed is very comfortable) All in all, the hotel represents fair value for money,",1,2013-08-03
514,97681,7,"and unless you pay big money, room sizes are very small. Due to the small room sizes, I recommend you go for at least the Special Deluxe.",0,2013-08-03
273,82701,1,An excellent hotel that offers the level of service and sophistication you would expect from Hyatt. Staff are helpful friendly and speak excellent English. The pool and spa are well appointed as are the rooms. The hotel is quite expensive and it feels like it!,1,2015-05-12
3885,207391,1,We had an amazing time! Everyone was lovely and the owners are incredible and so generous! I only wish that we could have spent more time there!  thank you for having us we hope to go again in the future!,1,2017-02-17
3378,192552,1,Very clean . Good location to the central area / tourist street . Just a 5-10 min walk.,1,2014-03-26
3378,192552,2,Rooms are business style,0,2014-03-26
3378,192552,3,"but comfortable , new looking and very clean.",1,2014-03-26
3378,192552,4,Could do with a variation on the pillow softness. Breakfast is buffet style with limited choice,0,2014-03-26
3378,192552,5,"but includes a hot meal and coffee. Friendly, professional staff.",1,2014-03-26
3378,192552,6,"No gym here,",0,2014-03-26
3378,192552,7,"but there is a 'nice park' nearby (5 min). An excellent running track and basic gym facilities, surrounded by the river. Quite location.",1,2014-03-26
16668,279360,2,"room was facing the bay which was the best of it. Beds were ok ( western style) and the room size was ok, too.",1,2017-08-18
16668,279360,3,"But the room like corridors and elevators showed clear signs of use, stained and worn carpets, stains and scratches on the walls, bedside table had clearly seen better times. The switchboard for AC was no longer in use and covered with a metal plate that was half loose; the wood of the bedside table was covered with water dots. The hotel is very big, too.",0,2017-08-18
16668,279360,4,"Food was good. If you want to stay I suggest to take a room facing the bay as you can also watch sunrise. Matsushima can be done as a day trip from Sendai which is not a bad option,",1,2017-08-18
16668,279360,6,The village itself has two beautiful shrines. A boat tour is worthwile,1,2017-08-18
6858,235236,2,"The room was spacious, very clean, came with a coffee maker and humidifier, and had stunning views of the harbour and Hakodate morning market. This hotel is an excellent choice whether you are in Hakodate for business or pleasure, as it is within a 5-min walk to JR Hakodate train station, the morning market, and within a 20 min walk to the red warehouses and the ropeway to Mt. Hakodate, as well as most eating places within Hakodate. Will definitely try to stay here again should I ever return to Hakodate in future.",1,2017-10-31
117,60591,1,I booked this hotel because it was a reasonable price and seemed close to Shinjuku station.,1,2015-08-29
117,60591,3,"and this hotel is near the Northern side which is actually a trek from the train lines. The room was clean,",1,2015-08-29
117,60591,4,but extremely tiny.,0,2015-08-29
117,60591,5,"Shinjuku neighborhood is great for exploring though, tons of bars and restaurants, plus the Golden Gai bar area which is awesome.",1,2015-08-29
55,40242,1,"As the name suggests, every room has its own fantastic view of Japan. The rooms are clean and comfortable, very good service from the staff, and yummy food! I would definitely go back and stay at this hotel again.",1,2014-10-27
17876,285058,1,"This was my first experience in a traditional Japanese ryonkan and it blew away any expectations I had. Firstly the staff is so friendly. The 3 generations of inn keepers (grandmother, daughter, granddaughter) are so nice, and the granddaughter speaks English fairly well if your Japanese is lacking. We made do with simple words and lots of hand signals. Our room overlooked the garden, had enough room for our two futons and a low table (with tea, ready for your arrival), a TV (which we didn't even turn on),",1,2017-09-29
17876,285058,2,and had a small (very small) bathroom,0,2017-09-29
17876,285058,3,"and a storage area for luggage. They also have the traditional bath, large enough for two to sprawl out in. The food was delicious, and they were able to accommodate our dietary requirements (which we provided before hand).",1,2017-09-29
17876,285058,4,"The wifi was a bit intermittent in our room (sometimes I had problems with it kicking me off),",0,2017-09-29
17876,285058,6,"There weren't many other guests when we were there,",1,2017-09-29
17876,285058,7,"but there don't appear to be too many rooms,",0,2017-09-29
17876,285058,8,so I doubt it would become very crowded.,1,2017-09-29
17876,285058,10,I would not hesitate recommending staying here if you find yourself in Ena.,1,2017-09-29
9708,249047,1,"I was lucky enought that my son found this hotel while we visited the Northern Okinawa Island. Amazing service!! The staff is genuinely gracious, gentile and never shows displeasure. The rooms are awesome, every one of them ocean view! The pool is great, the jaccuzzi faces the ocean, with a veranda attached!! Clean is not a word for them, immaculate is better. Every inch of the property is held to the same standard. And they tend to you without TIPPING!!! I would go back in a heartbeat.",1,2013-06-13
8925,245572,1,"This is a beautiful oasis in Tokyo. The accomadation are spacious with the most up to date technology which controls every aspect of the room. The staff reviews how to work eveything when they bring your luggage. The closet/dressing room is very nice for getting dressed. The spa in the hotel is one of the nicest have been anywhere in the world. Service is exceptional. If you are going to Tokyo, look no further.",1,2012-02-20
98,55283,1,"The hotel offers fair value for money for the newly redevloped Shiodome area, you can walk to Ginza, Tsujiki fish market, and can catch a variety of train services from many different lines.",1,2012-01-07
98,55283,3,"The included breakfast isn't something you'd be excited to get up for every morning,",0,2012-01-07
98,55283,4,but offers basic options.,1,2012-01-07
98,55283,5,"The room make up isn't up to standard however. We sometimes had 2 Jap style bath/bed gowns placed on bed, sometimes there were 3, but sometimes there's only one. The sheets aren't changed everyday either.",0,2012-01-07
98,55283,6,"The handwash can also be used as facial cleaner apparently,",1,2012-01-07
98,55283,8,"The replenishment of bathroom items is also inconsistent. Sometimes we can some items replenished but not others. On an odd day we only had one set of bath towels. The wardrobe was very small, you get 5 hangers but it probably has enough room to hang 3 heavy winter coats.",0,2012-01-07
98,55283,9,"As a no frills hotel, checking out was super quick. You literally drop the room key in the box and that was it.",1,2012-01-07
11046,255999,2,"But if you are planning to spend a night before visiting a good ryokan and if they are one of the two above, this can be a good choice as the pick up area is within 4 minute walkable distance.",1,2017-10-02
66,45990,1,"I love this hotel. I go out of my way to stay here. The staff is wonderful, the rooms are incredible and the views are truly other-worldly. I'd stay here again in a heartbeat,",1,2015-11-28
66,45990,2,"just in a different room. Quirkiest negative comment of 2015: I stayed in room 2916, below which is a building that has a roof which serves as a....dog park. When the dogs are out, despite being a good 15 stories below, it's all I can hear. Dozens of dogs barking constantly, and surprisingly present given the distance. I took video but thought that would be obnoxious to post. I'd just warn anyone who is sensitive to such a thing to stay on another side of the tower.",0,2015-11-28
3560,197953,1,"The hotel is very closed to bus terminal ""Oasis 21"" and Nagoya Tower. The tourist bus stop is close to hotel. I will recommend the hotel for tourist who wants to discover Nagoya city and Sakai area. There are several famous restaurants within 15 mins by walking. Hotel staff is friendly and my mother likes the breakfast they provided.",1,2018-01-16
14978,270974,2,"The good: The room size is fantastic,",1,2013-11-13
14978,270974,3,"was getting sick of dog boxes in most Japanese hotels,",0,2013-11-13
14978,270974,4,"location near airport, gym is amazing, breakfast quite good, plenty of seating, happy hour a good deal approx $USD 5 for Kirin beer and $USD 5 for house wine, convenient location to NRT, Narita township not far away is a great little town to visit of you have a few hours to kill,",1,2013-11-13
14978,270974,6,"TV was good, finally a hotel in Japan that has CNN and BBC and a few other english speaking channels. Loads of desk space in my room, o great to work from. The bed was fantastic and the new linen is a winner. The bathroom toiletries in the small bottles",1,2013-11-13
14978,270974,7,"( rather than huge tubs in most cheap Japanese hotels ) The not very good: The flight crew guests, I think they are the only other guests, '000's of them from all walks of life, lots of lisping going on, a lot of noise from them throughput the place especially the Americans, really loud, wow! The internet speed is ridiculously SLOW, for a Hilton and for Japan, this is by far the worst, I think there are so many Yanks trying to use at the same time, it is crazily slow. The staff are strange,",0,2013-11-13
14978,270974,9,"I honestly can say I never saw one smile, not a single one, which is so untypical of my experiences around Japan.",0,2013-11-13
14978,270974,10,"Japanese can't be helpful enough, wonderful people in fact,",1,2013-11-13
14978,270974,11,but not here.,0,2013-11-13
14978,270974,13,"There was one exception, a senior wait staff lady was absolutely delightful.",1,2013-11-13
14978,270974,14,"I had a car, they tried charging me  400 every time I went in and out of the cark park, I insisted it states  400 per day and after much hissing they agreed, bit annoying arguing with me about it but hey, what was I to expect from this lot.",0,2013-11-13
185,74154,2,"To begin with, the lobby is fantastic. It's one of those high ceilinged places that even has glass elevators. There was a wonderful electric train exhibit which I enjoyed as I'm a big train buff. The staff is helpful and well appointed. Now with all this grandeur in the lobby,",1,2015-01-06
185,74154,3,imagine my surprise when the room was so small!,0,2015-01-06
185,74154,5,so this room was about the size of the closet in the last place in which I stayed in Osaka.,0,2015-01-06
185,74154,6,"I will admit that it had pretty much everything I needed,",1,2015-01-06
185,74154,7,but I was shocked to find it so small.,0,2015-01-06
185,74154,8,"It had a very nice view (a corner room), in which I could see right down into Tokyo station (I love to watch trains) on one side and Tokyo Sky Tree on the other.",1,2015-01-06
185,74154,10,"Plastic tub/shower combination, and everything jammed together.",0,2015-01-06
185,74154,12,"This was a HUGE disappointment,",0,2015-01-06
185,74154,14,I certainly didn't want to in this plastic thing.,0,2015-01-06
185,74154,16,but I have really gotten used to a different situation.,0,2015-01-06
185,74154,18,"because I didn't need anything from them. I went to their restaurant and the food here was sensational. I was surprised, especially after having a totally excellent dinner, to find that there was only one other couple in the place.",1,2015-01-06
185,74154,19,"It might have had something to do with the service, which was very slow and almost negligible. I might have served myself.",0,2015-01-06
185,74154,20,"But the food, as I said, was really very good.",1,2015-01-06
185,74154,21,"I don't think I'd stay here again,",0,2015-01-06
185,74154,23,and this does not provide that.,0,2015-01-06
185,74154,24,"But if you're looking for a basic room with no amenities and not much space, this could be a good choice.",1,2015-01-06
12504,261430,1,Yamaichi Bekkan is so close to the harbor that when we asked a tour guide for instructions she actually laughed at us. It might seem a little harsh but it was pleasant for us considering how tired we were from our journey from Osaka and strolling through Hiroshima.,1,2008-08-12
12504,261430,3,The proprietor is the sweetest lady ever,1,2008-08-12
12504,261430,4,although we did have a few awkward social interactions,0,2008-08-12
12504,261430,6,"We decided to have an early night and when we told her we planned on having a very early morning she made arrangements so that the ryokan's hours of business would not affect us. The room was GIGANTIC and the meals were pieces of art. Since no one else was staying that night it really felt like we were staying at a very sweet, but distant, aunt's house.",1,2008-08-12
16,17500,1,"Nice hotel with good location, not far away (in 5 minutes) from Metro and JR. The service is quite good, clean room number, everyday clearing.",1,2016-05-19
16,17500,2,"The only thing that was not comfortable for me is that I could not open the window in my room number, from other hand it was quite noisy outside even in the night,",0,2016-05-19
40,35983,1,The service was fantastic. I even got a free breakfast delivered to my room,1,2017-10-23
40,35983,2,because they was a mix up with my check in time and I had to wait an extra hour.,0,2017-10-23
40,35983,3,"The room (deluxe double) was such a great size and the amenities and decor made it extra special. The choice of 3 breakfast's was brilliant, with each restaurant having it's own style. I didn't manage to check out the gym or spa facilities but the photos made it look so luxurious so I wish I had. I would definitely come back here again.",1,2017-10-23
3733,203241,2,"Has laundromat, loved their breakfasts.",1,2012-05-20
3733,203241,4,"Staff was courteous, friendly and very helpful.",1,2012-05-20
84,50693,1,excellent room. very close to ikebukuro station. shower room is clean and comfortable. the beds are very soft and comfortable. there is also a very big smart TV in the room. Lights are adjustable. On the first floor there is a pc room free to use. It is just so good.,1,2016-07-03
4940,213343,1,I cannot recommend this hotel enough. It is such good value for the quality.,1,2010-12-01
4940,213343,2,We stayed for 6 nights after leaving another hotel that was unsatifactory in Tokyo.,0,2010-12-01
4940,213343,3,"Big rooms great views. Excellent housekeeping clean linen everyday. Non smoking room was definately as stated- non smoking,",1,2010-12-01
4940,213343,4,unlike so many others that clearly are not.,0,2010-12-01
4940,213343,5,So close to an exhibition that I went too next door. Good restaurants nearby and close to stations for travelling. Right next to the harbour so lots to look at and relax in the fresh air. Was such a great ending to a fantastic holiday.,1,2010-12-01
1250,148645,1,"I chose this hotel based on the TripAdvisor reviews, and I was glad I did! The hotel itself is easy to find in Nanba Station. Hotel staff were delightful and helpful, and English is spoken very well. The interior was gorgeous and even included a fake wedding chapel for ceremonies. There is a big supermarket, MaxValue, located nearby",1,2013-06-21
1250,148645,3,if you need snacks or forgot something. I will definitely stay here again!,1,2013-06-21
92,52799,1,This hotel has nice location and super views from the windows (I have been there many times during last 8 years).,1,2016-06-29
92,52799,2,"Minatoku district is not the down town,",0,2016-06-29
92,52799,3,but very close to. Communication is very good - it is located close to metro and even pier with a lot of cruisers from Scandinavia. Service is brilliant - once I had accidentally broken a bit shower door - it was immediately repaired. at the first floor is nice restaurant with marvellous views and super cuisine - especially prawns and shrimps. Strongly reccomended,1,2016-06-29
12877,262873,2,"The room is somewhat small, it fits all 5 of us but our big luggages had to be left at the door.",0,2017-05-12
12877,262873,4,"Having said that, this hotel is centrally located. AEON is just nearby, plenty of eateries and shopping around the hotel. We do love the public Onsen. The hotel has chargeable car parking facility.",1,2017-05-12
12877,262873,6,"Car park attendants were readily available to manage the traffic in and out of the automated carpark. Coin operated launderette is also available at the ground level. Overall, a pleasant stay.",1,2017-05-12
3664,199918,2,"but it was awesome. The beds are exactly as the photo shows them, but there are also lockers for your stuff, a kitchen and a small 'living room'. The Japanese breakfast is delicious and very filling. But the best part is that they 'rent' bicycles for FREE. Even after I had checked out I could still borrow it, which made my stay really wonderful. I went to the aquarium and the shirotori garden with it ( took me 1h-1h30) but it was great being able to see the city. And I had no problem parking. You can also leave your bags in a locker for free after check-out which is a big plus. All in all if you are in Nagoya for a short stay it is the perfect place.",1,2015-08-26
6857,235203,1,I was anticipating with great interest staying in an onset-style hotel with one's very own rotenburo (outside bath) included in one's own room.,1,2013-04-03
6857,235203,2,I was surprised to find that this hotel is located a long way (and an expensive cab ride) from the main town of Hakodate. I was also surprised that no one was available to speak even the littlest bit of English when checking in. The person who checked me in had to use a printed card to tell me what I needed to do.,0,2013-04-03
6857,235203,3,"It was very nice to be greeted by a nice drink while checking in, and it was nice to sit at a little table rather than having to stand in line to check in, but from what I've read in other reviews, there was some English spoken.",1,2013-04-03
6857,235203,4,"Well, it wasn't spoken at check in. I was afraid I was going to have some real problems in communicating.",0,2013-04-03
6857,235203,5,"Luckily, after the check in ordeal, I was able to communicate with my broken Japanese and other hotel staff were able to communicate with me in their broken English. My room was a very large (actually two-room suite) Japanese-style room with some western amenities such as a couch and easy chair. The view was of the ocean with a small beach area,",1,2013-04-03
6857,235203,7,it's not an attractive beach at all. I wouldn't even think of going out walking on it.,0,2013-04-03
6857,235203,8,"The view from the window also includes far-away Hakodate, and the mountains of Hokkaido. There were nice descriptions of the mountains on a little plaque by the rotenburo,",1,2013-04-03
6857,235203,9,but they were all in Japanese.,0,2013-04-03
6857,235203,10,"The service was very attentive and cheerful, and everyone, especially in the restaurant, did their best to make you happy. The dinner buffet was quite extensive, and I really loved the ice cream they offered which you could eat all you wanted...",1,2013-04-03
6857,235203,12,"Oh, by the way, that's another drawback. Too many children.",0,2013-04-03
6857,235203,13,"I have yet to head to the breakfast buffet, but I imagine it will be the same high quality as at dinner.",1,2013-04-03
6857,235203,14,"Several people have mentioned the lack of internet access here. Yes, you don't see anything about it,",0,2013-04-03
6857,235203,15,but if you go to the main desk they'll provide you with a password and you just log in and you're all set.,1,2013-04-03
6857,235203,17,"I always enjoy the public onset, and this one was quite nice,",1,2013-04-03
6857,235203,18,"although it seems to have deteriorated, with lots of crusty railings and doorways. The water in the bath seemed a bit gritty.",0,2013-04-03
6857,235203,19,"But there are certainly enough pools to make for an enjoyable visit. One I particularly enjoyed was a jacuzzi kind of thing where you could lay out with your head on a wooden 'pillow' and enjoy the bubbles. The outdoor public baths left a little to be desired as noted above. Also, as someone else has mentioned, that beach is sort of distressing to look at. A nice vista of the distant(!!) town of Hakodate is also nice. I'd say this was a perfectly adequate place to stay,",1,2013-04-03
6857,235203,20,although perhaps a little bit old fashioned and not particularly elegant. One definite drawback is the lack of a bar.,0,2013-04-03
6857,235203,21,"But there are definitely enough things to occupy you while you stay here. I noticed a karaoke bar, a massage facility, and lots of quaint little shops. I give it a high recommendation except as noted above.",1,2013-04-03
20192,289464,2,"The hotel is really good,we booked a business suite and the room was amazing, couldnt fault anything with the room and facilities.",1,2013-08-01
20192,289464,3,"the only issue we had was getting food,",0,2013-08-01
20192,289464,4,even though the restaurant wasnt busy,1,2013-08-01
20192,289464,5,"we waited a long time for the food, too long being honest and we did complain. when it did come it was ok but it was a good 40 miniute wait and we didnt have steak!",0,2013-08-01
698,102986,1,"We have just checked in and I am really glad we chose this hotel! It is just two JR stations away from Tokyo station, so very easy to be reached. The reception in the hotel was perfect. All the staff gets involved in helping you and making you feel confortable. Our room is huge! It is a fusion of modern and old style ryokan-like japan. Everything is new and the decoration is very nice! This is the best hotel of our trip in Japan!",1,2017-11-09
48,39148,2,This hotel has very good price and good room condition.,1,2013-05-03
409,91938,1,"We felt welcome from the minute we arrived there. The room is clean and nice, the bathrooms and facilities are beautiful and cozy. We had fun with the bike tour we did,it's really a plus to get them at the Ryokan. We would love to come back soon.",1,2017-11-29
6,7168,2,"It is very clean,",1,2017-02-14
6,7168,3,has a little style to it and,0,2017-02-14
6,7168,4,"is equipped with everything you will probably need. It's comfortable and quiet but the one point that changes the rating of this hotel from a three to a four is the location. We were leaving on an early morning flight from Haneda and did not wish to have to rush to check-in for our flight. The entrance to the hotel is located no more than 100 metres from the check-in desks for international departures. If leaving on an early morning international flight I would recommend staying here, if not, there are similar hotels not too far away that cost far less than our stay here did.",1,2017-02-14
4293,211040,2,"I always choose a typical japanese room, with tatame bed and green tea. The japanese breakfast is very good to start the walking day, and afterwards, an ofuro bath a pleasant way to relax. The hotel is just behind Asakusa market, also close tho Asakusa shrine and pagoda. Next time I'll visit Tokyo I pretend to stay there again.",1,2014-01-13
2714,184920,1,"This lodge was highly recommended by Tripadvisor members for reasons I can understand - the owner (there are 3 actually and the gentleman we interacted with is Zen-san). He is courteous and helpful. The common area at the lodge also gives you a very homely feeling, in an American sort of way. If you are travelling alone or with one other person, you pay 4,000 to 8,000 yen for a room. This way, it's very reasonable. In fact, all the other guests we met were either a couple or single.",1,2006-12-28
2714,184920,3,"The area downstairs is really small and the bathroom is tiny (hotwater is available till 11 p.m. but it took us very long to get everyone cleaned up given a less than 30 sq ft-space). it was very cold at this time of the year and the portable heater downstairs made the room really hot and dry at night. Without it though, it was cold.",0,2006-12-28
2714,184920,4,"Fortunately, the beds were all equipped with blanket warmer,",1,2006-12-28
2714,184920,5,we had to adjust the heater and the warmer in the middle of the night or else you will be soaked with sweat. I guess all these less than pleasant experiences had to do with the weather and it will be a lot more pleasant in spring/summer.,0,2006-12-28
2714,184920,7,"but certain parts require urgent upkeeping. Location wise, it's not really possible for one to walk from the Nikko train station to the lodge.",0,2006-12-28
2714,184920,9,"If I visit Nikko again with my husband, I will probably stay at the lodge again.",1,2006-12-28
2714,184920,10,I won't if I am with friends or family.,0,2006-12-28
910,129166,1,"Nice hotel inside Kyoto Station. Efficient and clean room, nice breakfast buffet offering, very pleasant staff and very reasonable prices. My 'go to' hotel when I travel on business. Highly recommended.",1,2016-09-26
1336,161931,1,"The building outer look is impressive . Bruno del vino, the Cafe of the hotel is spacious and it is on the ground floor ,the cakes are fairly good. Not many people. Good to rest after shopping after Toyo hands, right at the back street.",1,2017-01-27
16589,279065,1,"This place in just amazing. Where in the world can you spend a night in the museum? Naoshima Island. We wondered alone through the art exhibitions which are open exclusively to guests until 10pm at night. Our room was in 'the Oval', an architectural masterpiece designed by Tadao Ando ( a name you become familiar with staying on the art islands).",1,2014-11-20
16589,279065,2,"Initially when we first booked, all the Oval rooms were full ,",0,2014-11-20
16589,279065,3,"but we were really lucky to get a cancellation after checking back regularly on the website booking calendar which is updated daily. It was so worth the effort - aside from the stunning architecture the views from our room were jaw dropping and with only 6 rooms and a private monorail to get you there it's a totally unique and very 007 experience. I'm sure the rooms at The Park, Museum and Beach areas of Benesse House are really cool too as the whole place is wonderful. We were welcomed at the museum with a glass of champagne and watched the sunset over the Seto islands. Ate in The Terrace restaurant -",1,2014-11-20
16589,279065,4,quite expensive,0,2014-11-20
16589,279065,5,"but fantastic set menu and nice atmosphere. Breakfast was lovely - especially as you are right by the sea. The staff were all really friendly and the free bus shuttle service around the island makes life easy. The bus is waiting for you when you get off the ferry - little tip if you are short on time: you can leave your bags on the bus and they will be taken straight to the hotel and will be waiting for you in your room when you get there later. This gives you the option to get off along the route and visit some of the galleries and the interesting Art House project, worked well for us as we spent one day on Naoshima and the following day on Teshima island had a lot to see in a short time. Both islands are so peaceful and making even a busy stay relaxing. We only stayed one night at Benesse House, it was our 'splurge night' on our two week tour of Japan and was the highlight of our trip - not sure we will ever top this one. I will never forget this place, everyone should go at least once in their lifetime.",1,2014-11-20
162,69059,2,This is a very good hotel for business travellers and it well connected to the Tokyo Metro lines and just 2 stops away from the Tokyo JR line. It is located within 100 meters from Kayabacho Metro station on Hibiya line. Room and bath was clean and spacious as for Tokyo standards.,1,2013-05-14
162,69059,3,Although there was not much variety for the breakfast,0,2013-05-14
162,69059,4,but was simple and decent. There was also a coin operated washer and drier of my floor which was quite convenient. I would highly recommend this hotel for business and leisure travellers.,1,2013-05-14
