Keyword,KeywordList,WordValue,POS_Tag
confident,positive,subject,JJ
confortable,positive,grammatical,JJ
confusion,positive,subject,NN
connect,positive,subject,VB
connection,positive,subject,NN
connectivity,positive,subject,NN
consider,positive,subject,VB
contact,positive,subject,NN
contain,positive,subject,VBP
contemporary,positive,subject,JJ
content,positive,subject,NN
control,positive,subject,NN
controlled,positive,subject,VBN
convenience,positive,subject,NN
convenient,positive,subject,JJ
conveniently,positive,subject,RB
convention,positive,subject,NN
conversation,positive,subject,NN
convinient,positive,subject,NN
cook,positive,subject,NN
cooking,positive,subject,NN
cool,positive,subject,JJ
cordial,positive,subject,JJ
corner,positive,subject,NN
cosmetic,positive,subject,JJ
cosy,positive,subject,JJ
counter,positive,subject,RB
couple,positive,subject,NN
coupon,positive,subject,NN
course,positive,subject,NN
court,positive,subject,NN
courteous,positive,subject,JJ
courtesy,positive,subject,NN
courtyard,positive,subject,NN
cover,positive,subject,NN
covered,positive,subject,VBN
cozy,positive,subject,JJ
crab,positive,subject,NN
crash,positive,subject,NN
crowd,positive,subject,NN
cruise,positive,subject,NN
cuisine,positive,subject,NN
culture,positive,subject,NN
cup,positive,subject,NN
currency,positive,subject,NN
current,positive,subject,JJ
curry,positive,subject,NN
customer,positive,subject,NN
cut,positive,subject,NN
cute,positive,subject,JJ
cycling,positive,subject,NN
dai,positive,grammatical,NN
daimon,positive,grammatical,NNP
dairy,positive,subject,NN
daughter,positive,subject,NN
deal,positive,subject,NN
decent,positive,grammatical,JJ
decently,positive,subject,RB
decision,positive,subject,NN
deck,positive,subject,NN
decorate,positive,subject,VB
deep,positive,subject,RB
definately,positive,grammatical,RB
definite,positive,subject,JJ
definitely,positive,grammatical,RB
defnitely,positive,grammatical,RB
delay,positive,subject,NN
delicious,positive,subject,JJ
delighted,positive,subject,JJ
delightful,positive,grammatical,JJ
deliver,positive,subject,VB
delivery,positive,subject,NN
deluxe,positive,subject,JJ
demand,positive,subject,NN
depart,positive,subject,VB
department,positive,subject,NN
describe,positive,subject,VB
desert,positive,subject,NN
deserve,positive,subject,VB
design,positive,subject,NN
desire,positive,subject,NN
dessert,positive,subject,NN
destination,positive,subject,NN
detail,positive,subject,NN
detergent,positive,subject,NN
die,positive,subject,VB
difference,positive,subject,NN
different,positive,subject,JJ
difficulty,positive,subject,NN
dine,positive,subject,VB
dining,positive,subject,NN
dinner,positive,subject,NN
dip,positive,subject,NN
direct,positive,subject,JJ
direction,positive,subject,NN
directly,positive,subject,RB
discount,positive,subject,NN
discounted,positive,subject,VBN
discover,positive,subject,VBP
dish,positive,subject,NN
disney,positive,subject,NN
disneyland,positive,subject,NN
disneysea,positive,subject,NN
display,positive,subject,NN
distance,positive,subject,NN
distant,positive,subject,JJ
district,positive,subject,NN
dive,positive,subject,NN
doctor,positive,subject,NN
dome,positive,subject,NN
doorstep,positive,subject,NN
dori,positive,grammatical,NNS
dotonbori,positive,grammatical,NNS
downstairs,positive,subject,RB
downtown,positive,subject,NN
drag,positive,subject,NN
dressing,positive,subject,NN
drink,positive,subject,NN
drive,positive,subject,NN
driver,positive,subject,NN
drop,positive,subject,NN
dry,positive,subject,JJ
dryer,positive,subject,NN
eager,positive,subject,JJ
eagerly,positive,subject,RB
easier,positive,subject,JJR
easily,positive,subject,RB
easy,positive,grammatical,JJ
eatery,positive,subject,NN
eating,positive,subject,VBG
ebisu,positive,grammatical,NNP
eclectic,positive,subject,JJ
edge,positive,subject,NN
efficient,positive,subject,JJ
efficiently,positive,grammatical,RB
effort,positive,subject,NN
electronic,positive,subject,JJ
elegant,positive,subject,JJ
elegantly,positive,grammatical,RB
employee,positive,subject,NN
empty,positive,subject,JJ
encounter,positive,subject,NN
enjoy,positive,grammatical,VB
enjoyable,positive,subject,JJ
enjoyed,positive,grammatical,VBN
enormous,positive,subject,JJ
enough,positive,grammatical,RB
ensure,positive,subject,VB
enter,positive,subject,VB
entertainment,positive,subject,NN
entire,positive,subject,JJ
entrance,positive,subject,NN
entry,positive,subject,NN
environment,positive,subject,NN
equally,positive,subject,RB
equip,positive,subject,VB
equipment,positive,subject,NN
equipped,positive,subject,VBN
escape,positive,subject,NN
especially,positive,grammatical,RB
essential,positive,subject,JJ
establishment,positive,subject,NN
etc,positive,grammatical,FW
event,positive,subject,NN
everyday,positive,subject,RB
everyone,positive,subject,NN
everything,positive,grammatical,NN
everytime,positive,grammatical,NN
everywhere,positive,grammatical,RB
exactly,positive,grammatical,RB
example,positive,grammatical,NN
exceed,positive,subject,VBP
excellent,positive,grammatical,JJ
exception,positive,subject,NN
exceptional,positive,grammatical,JJ
exchange,positive,subject,NN
excited,positive,subject,JJ
exclusively,positive,grammatical,RB
execute,positive,subject,VB
executive,positive,subject,NN
exhaust,positive,subject,NN
exhibition,positive,subject,NN
exit,positive,subject,NN
expectation,positive,subject,NN
experience,positive,subject,NN
explain,positive,subject,VB
explore,positive,subject,VB
express,positive,subject,VB
exquisite,positive,subject,JJ
extensive,positive,subject,JJ
extent,positive,subject,NN
extremely,positive,grammatical,RB
eye,positive,subject,NN
fabulous,positive,subject,JJ
facial,positive,subject,JJ
factor,positive,subject,NN
fail,positive,subject,VB
fairly,positive,grammatical,RB
fall,positive,subject,NN
familiar,positive,subject,JJ
family,positive,subject,NN
familymart,positive,subject,NNP
famous,positive,subject,JJ
fan,positive,subject,NN
fantastic,positive,grammatical,JJ
fare,positive,subject,NN
father,positive,subject,NN
faultless,positive,subject,JJ
favorite,positive,grammatical,JJ
feature,positive,grammatical,NN
feeling,positive,grammatical,NN
female,positive,subject,JJ
ferry,positive,subject,NN
festival,positive,subject,NN
field,positive,subject,NN
fill,positive,subject,VB
fine,positive,grammatical,JJ
finish,positive,subject,NN
firework,positive,subject,NN
firstly,positive,subject,RB
fish,positive,subject,NN
fitness,positive,subject,NN
fixed,positive,subject,VBN
flagship,positive,subject,NN
flat,positive,subject,JJ
flavor,positive,subject,NN
flight,positive,subject,NN
floor,positive,subject,NN
fluent,positive,subject,JJ
fluently,positive,subject,RB
fold,positive,subject,RB
folder,positive,subject,NN
follow,positive,subject,VB
following,positive,subject,VBG
fontaine,positive,subject,NN
foreign,positive,subject,JJ
foreigner,positive,subject,NN
forest,positive,subject,NN
forget,positive,subject,VB
forward,positive,subject,RB
found,positive,subject,VBN
fountain,positive,subject,NN
foyer,positive,subject,NN
frank,positive,subject,JJ
frankly,positive,subject,RB
freak,positive,subject,NN
free,positive,subject,JJ
french,positive,grammatical,JJ
frequent,positive,subject,JJ
fresh,positive,subject,JJ
fridge,positive,subject,NN
friend,positive,subject,NN
friendly,positive,subject,JJ
front,positive,subject,NN
fruit,positive,subject,NN
fuji,positive,subject,NNS
fujikyu,positive,subject,NNP
fully,positive,subject,RB
function,positive,subject,NN
functional,positive,grammatical,JJ
furano,positive,grammatical,NNP
fuss,positive,subject,NN
future,positive,subject,NN
gaijin,positive,subject,NN
gallery,positive,subject,NN
garage,positive,subject,NN
garden,positive,subject,NN
gate,positive,subject,NN
gear,positive,subject,NN
geisha,positive,subject,NN
gel,positive,subject,NN
general,positive,subject,JJ
generally,positive,subject,RB
generous,positive,subject,JJ
getaway,positive,subject,NN
gift,positive,subject,NN
ginza,positive,grammatical,NNS
gion,positive,grammatical,NN
girl,positive,subject,NN
glad,positive,subject,JJ
gladly,positive,subject,RB
glass,positive,subject,NN
glimpse,positive,subject,NN
global,positive,subject,JJ
glorious,positive,subject,JJ
godsend,positive,subject,NN
gold,positive,subject,NN
gondola,positive,subject,NN
gonou,positive,subject,NNP
good,positive,grammatical,JJ
gora,positive,grammatical,FW
gorgeous,positive,subject,JJ
goryu,positive,grammatical,NNP
gracious,positive,subject,JJ
grand,positive,subject,JJ
grateful,positive,subject,JJ
great,positive,grammatical,JJ
greatly,positive,subject,RB
green,positive,subject,JJ
greet,positive,subject,VB
greeting,positive,subject,VBG
grill,positive,subject,NN
grilled,positive,subject,VBN
grocery,positive,subject,NN
ground,positive,subject,NN
gush,positive,subject,VB
guy,positive,subject,NN
gyoen,positive,grammatical,NN
hairdryer,positive,subject,NN
hakata,positive,grammatical,NNP
hakodate,positive,grammatical,NN
hakone,positive,grammatical,NN
hamamatsucho,positive,grammatical,NNP
handed,positive,subject,JJ
handy,positive,subject,JJ
haneda,positive,grammatical,NNP
hanging,positive,subject,VBG
hankyu,positive,grammatical,NNP
happily,positive,subject,RB
happo,positive,grammatical,NN
happy,positive,grammatical,JJ
harajuku,positive,grammatical,NNP
harbor,positive,subject,NN
harbour,positive,subject,NN
haven,positive,subject,NN
head,positive,subject,NN
healthy,positive,subject,JJ
hear,positive,subject,VB
heart,positive,subject,NN
heartbeat,positive,subject,NN
hearty,positive,subject,JJ
heated,positive,subject,JJ
heating,positive,subject,NN
heaven,positive,subject,NNP
heavenly,positive,subject,RB
hell,positive,subject,NN
help,positive,subject,NN
helpful,positive,subject,JJ
hesitate,positive,subject,VB
hesitation,positive,subject,NN
hida,positive,grammatical,NN
hide,positive,subject,NN
high,positive,grammatical,JJ
highest,positive,subject,JJS
highland,positive,subject,NN
highlight,positive,subject,NN
highly,positive,grammatical,RB
hike,positive,subject,NN
hill,positive,subject,NN
hip,positive,subject,NN
hire,positive,subject,VB
hirosaki,positive,grammatical,NN
hiroshima,positive,grammatical,NNP
historical,positive,subject,JJ
hit,positive,subject,NN
hokkaido,positive,grammatical,NN
hold,positive,subject,NN
home,positive,subject,NN
homemade,positive,subject,JJ
hop,positive,subject,NN
hoshinoya,positive,grammatical,NNP
hoshokaku,positive,grammatical,NNP
hospitable,positive,subject,JJ
hospital,positive,subject,NN
hospitality,positive,subject,NN
host,positive,subject,NN
hotspr,positive,grammatical,NNP
hotspring,positive,subject,NN
house,positive,subject,NN
hrs,positive,subject,NNS
hub,positive,subject,NN
hubby,positive,subject,NN
humidifier,positive,subject,NN
hungry,positive,subject,JJ
hustle,positive,subject,NN
ichi,positive,grammatical,NNP
ideal,positive,subject,JJ
imamiya,positive,grammatical,NNP
immaculate,positive,subject,JJ
immaculately,positive,grammatical,RB
immediate,positive,subject,JJ
immediately,positive,grammatical,RB
imo,positive,grammatical,NN
impeccable,positive,subject,JJ
imperial,positive,subject,JJ
important,positive,subject,JJ
impressed,positive,subject,JJ
impressive,positive,subject,JJ
include,positive,grammatical,VBP
inclusive,positive,subject,JJ
incredible,positive,subject,JJ
incredibly,positive,subject,RB
indeed,positive,subject,RB
indian,positive,grammatical,JJ
individual,positive,subject,JJ
indoor,positive,subject,JJ
inexpensive,positive,subject,JJ
influence,positive,subject,NN
ingredient,positive,subject,NN
inland,positive,subject,RB
instant,positive,subject,NN
instructor,positive,subject,NN
insulation,positive,subject,NN
interact,positive,subject,VB
interest,positive,subject,NN
interested,positive,subject,JJ
interesting,positive,subject,JJ
interior,positive,subject,NN
invaluable,positive,subject,JJ
invite,positive,subject,VB
iron,positive,subject,NN
ishigaki,positive,grammatical,NN
island,positive,subject,NN
italian,positive,subject,JJ
item,positive,subject,NN
itinerary,positive,subject,NN
izakaya,positive,subject,NN
jacuzzi,positive,subject,NN
jam,positive,subject,NN
jean,positive,subject,NN
jelly,positive,subject,NN
jet,positive,subject,NN
ji,positive,grammatical,NNP
job,positive,subject,NN
join,positive,subject,VB
joint,positive,subject,JJ
journey,positive,subject,NN
jr,positive,grammatical,NN
juice,positive,subject,NN
july,positive,grammatical,NNP
kabira,positive,subject,NNP
kaido,positive,subject,NN
kaiseki,positive,grammatical,NN
kamikochi,positive,grammatical,NNP
kanazawa,positive,grammatical,FW
karaoke,positive,subject,NN
karasuma,positive,grammatical,FW
kawaramachi,positive,grammatical,NNS
kayabacho,positive,grammatical,NNP
kettle,positive,subject,NN
kick,positive,subject,NN
kid,positive,subject,NN
kindly,positive,subject,RB
kirin,positive,subject,NN
kitchen,positive,subject,NN
kitchenette,positive,subject,NN
km,positive,subject,NN
knee,positive,subject,NN
knowledge,positive,subject,NN
ko,positive,grammatical,NN
kobe,positive,grammatical,NN
koishiya,positive,grammatical,NNP
kurashiki,positive,grammatical,NNP
kyoko,positive,grammatical,NNP
kyoto,positive,grammatical,NN
kyushu,positive,grammatical,NNP
lady,positive,subject,NN
lag,positive,subject,NN
lake,positive,subject,NN
landscape,positive,subject,NN
laptop,positive,subject,NN
large,positive,subject,JJ
larger,positive,subject,JJR
largest,positive,subject,JJS
lastly,positive,subject,RB
latter,positive,subject,JJ
laugh,positive,subject,NN
laundry,positive,subject,NN
lavender,positive,subject,NN
lawson,positive,subject,NN
layer,positive,subject,NN
layout,positive,subject,NN
lazy,positive,subject,JJ
lcd,positive,subject,NN
lead,positive,subject,NN
league,positive,subject,NN
learn,positive,subject,VB
least,positive,subject,JJS
leg,positive,subject,NN
lend,positive,subject,VB
letter,positive,subject,NN
level,positive,subject,NN
limo,positive,subject,NN
limosine,positive,subject,NN
limousine,positive,subject,NN
line,positive,subject,NN
linen,positive,subject,NN
liquid,positive,subject,NN
list,positive,subject,NN
listen,positive,subject,VB
literally,positive,subject,RB
live,positive,subject,RB
living,positive,subject,VBG
load,positive,subject,NN
local,positive,subject,JJ
locate,positive,grammatical,VB
location,positive,subject,NN
lock,positive,subject,NN
locker,positive,subject,NN
lodging,positive,subject,NN
log,positive,subject,NN
lounge,positive,subject,NN
love,positive,grammatical,NN
lovely,positive,grammatical,JJ
lover,positive,subject,NN
lower,positive,subject,JJR
loyalty,positive,subject,NN
lucky,positive,grammatical,JJ
lunch,positive,subject,NN
machine,positive,subject,NN
magnificent,positive,subject,JJ
mahoroba,positive,grammatical,NN
maid,positive,subject,NN
maintain,positive,subject,VB
maintained,positive,subject,VBN
maker,positive,subject,NN
male,positive,subject,JJ
manager,positive,subject,NN
manner,positive,subject,NN
map,positive,subject,NN
march,positive,subject,NN
mark,positive,subject,NN
market,positive,subject,NN
mart,positive,subject,NN
mask,positive,subject,NN
massage,positive,subject,NN
massive,positive,subject,JJ
master,positive,subject,NN
matsumoto,positive,grammatical,NN
max,positive,subject,NN
mcdonald,positive,subject,NN
meal,positive,subject,NN
meet,positive,subject,NN
meeting,positive,subject,NN
melt,positive,subject,NN
member,positive,subject,NN
memorable,positive,subject,JJ
memorial,positive,subject,JJ
menu,positive,subject,NN
mess,positive,subject,NN
metre,positive,subject,NN
metro,positive,subject,NN
metropolitan,positive,subject,JJ
microwave,positive,subject,NN
middle,positive,subject,NN
mikasa,positive,grammatical,NN
milk,positive,subject,NN
mina,positive,grammatical,NN
mine,positive,subject,PRP
mineral,positive,subject,NN
mins,positive,subject,NNS
minute,positive,grammatical,NN
mirror,positive,subject,NN
misen,positive,subject,VBN
miso,positive,subject,NN
miyajima,positive,grammatical,NNP
mizuki,positive,grammatical,NN
moderately,positive,subject,RB
modern,positive,subject,JJ
modest,positive,subject,JJ
moisturizing,positive,subject,VBG
moment,positive,subject,NN
money,positive,subject,NN
monorail,positive,subject,NNP
month,positive,subject,NN
mostly,positive,subject,RB
mother,positive,subject,NN
mount,positive,subject,NN
mountain,positive,subject,NN
mouth,positive,subject,NN
mt,positive,subject,NN
multiple,positive,subject,JJ
multus,positive,grammatical,NNP
museum,positive,subject,NN
music,positive,subject,NN
myriad,positive,subject,JJ
mystay,positive,grammatical,NN
nabe,positive,grammatical,NN
nagano,positive,grammatical,NNP
nagasaki,positive,grammatical,NN
nagoya,positive,grammatical,NNP
nakajima,positive,grammatical,NNP
naked,positive,subject,JJ
namba,positive,grammatical,NNP
nankai,positive,grammatical,NN
naoshima,positive,grammatical,NNP
nap,positive,subject,NN
nara,positive,grammatical,NN
narita,positive,grammatical,NNP
naritasan,positive,subject,NNP
natural,positive,subject,JJ
nature,positive,subject,NN
navigate,positive,subject,VB
near,positive,subject,RB
nearby,positive,subject,RB
nearest,positive,subject,JJS
neat,positive,subject,JJ
neighborhood,positive,subject,NN
neighbour,positive,subject,NN
neighbourhood,positive,grammatical,NN
nespresso,positive,subject,RB
network,positive,subject,NN
nevertheless,positive,subject,RB
new,positive,subject,JJ
newly,positive,grammatical,RB
next,positive,grammatical,RB
nic,positive,grammatical,JJ
nice,positive,grammatical,JJ
nicely,positive,grammatical,RB
nicer,positive,grammatical,JJR
nicest,positive,grammatical,JJS
nightlife,positive,subject,NN
nightly,positive,grammatical,RB
nijo,positive,grammatical,NNP
nikko,positive,grammatical,NNP
nippori,positive,grammatical,NNP
niseko,positive,grammatical,NNP
nishiki,positive,grammatical,NNP
noodle,positive,subject,NN
northern,positive,subject,JJ
notch,positive,grammatical,NN
november,positive,grammatical,NNP
number,positive,subject,NN
numerous,positive,subject,JJ
oasis,positive,subject,NN
obliging,positive,grammatical,VBG
occupy,positive,subject,VB
ocean,positive,subject,NN
october,positive,grammatical,NNP
odori,positive,grammatical,NNS
oedo,positive,grammatical,NN
offered,positive,subject,VBN
offering,positive,subject,NN
office,positive,subject,NN
ofuro,positive,subject,NN
ohara,positive,grammatical,NNS
okay,positive,subject,UH
okinawa,positive,grammatical,NN
omiya,positive,grammatical,NNP
online,positive,subject,RB
onomichi,positive,grammatical,RB
onsen,positive,subject,RB
onset,positive,subject,NN
onsite,positive,subject,JJ
opened,positive,subject,VBN
opening,positive,subject,NN
operate,positive,subject,VBP
operated,positive,subject,VBN
order,positive,subject,NN
ordinary,positive,subject,JJ
organise,positive,grammatical,VB
osaka,positive,grammatical,NNP
outdoor,positive,subject,JJ
outdoors,positive,subject,RB
outer,positive,subject,JJ
outline,positive,subject,NN
outside,positive,subject,RB
outstanding,positive,subject,JJ
overall,positive,grammatical,RB
overlook,positive,subject,JJ
overnight,positive,subject,RB
oversee,positive,subject,VB
owner,positive,subject,NN
package,positive,subject,NN
pad,positive,subject,NN
palace,positive,subject,NN
parent,positive,subject,NN
park,positive,subject,NN
parking,positive,subject,NN
participate,positive,subject,VB
party,positive,subject,NN
pass,positive,subject,VB
password,positive,subject,NN
past,positive,subject,NN
pasta,positive,subject,NN
pastry,positive,subject,NN
patient,positive,subject,NN
payment,positive,subject,NN
pc,positive,subject,NN
peace,positive,subject,NN
peaceful,positive,subject,JJ
pearl,positive,subject,NN
penny,positive,subject,NN
perfect,positive,grammatical,JJ
perfection,positive,subject,NN
perfectly,positive,grammatical,RB
perk,positive,subject,NN
personal,positive,subject,JJ
personally,positive,subject,RB
personnel,positive,subject,NNS
phenomenal,positive,subject,JJ
pick,positive,subject,VB
pickle,positive,subject,NN
picture,positive,subject,NN
piece,positive,subject,NN
pipe,positive,subject,NN
plan,positive,subject,NN
plane,positive,subject,NN
pleasant,positive,subject,JJ
pleasantly,positive,grammatical,RB
please,positive,subject,UH
pleased,positive,subject,JJ
pleasure,positive,subject,NN
plentiful,positive,subject,JJ
plenty,positive,subject,NN
plus,positive,subject,CC
pluse,positive,grammatical,NN
pole,positive,subject,NN
polite,positive,subject,JJ
politeness,positive,subject,NN
pond,positive,subject,NN
pontocho,positive,grammatical,NNP
pool,positive,subject,NN
pop,positive,subject,NN
popular,positive,subject,JJ
portable,positive,subject,JJ
positive,positive,subject,JJ
possible,positive,subject,JJ
post,positive,subject,NN
pot,positive,subject,NN
pour,positive,subject,VBP
powder,positive,subject,NN
ppl,positive,subject,NNS
practically,positive,subject,RB
practice,positive,subject,NN
praise,positive,subject,NN
prefecture,positive,subject,NN
premise,positive,subject,NN
present,positive,subject,JJ
presentation,positive,subject,NN
preserve,positive,subject,VB
pressure,positive,subject,NN
pretend,positive,subject,NN
prince,positive,subject,NN
print,positive,subject,NN
privacy,positive,subject,NN
private,positive,subject,JJ
process,positive,subject,NN
product,positive,subject,NN
professional,positive,subject,JJ
project,positive,subject,NN
promotional,positive,subject,JJ
prompt,positive,subject,JJ
promptly,positive,subject,RB
property,positive,subject,NN
provide,positive,subject,VB
proximity,positive,subject,NN
purchase,positive,subject,NN
pure,positive,subject,JJ
purpose,positive,subject,NN
question,positive,subject,NN
quick,positive,subject,JJ
quickly,positive,subject,RB
quiet,positive,subject,JJ
quieter,positive,subject,JJR
rail,positive,subject,NN
railway,positive,subject,NN
raise,positive,subject,NN
raman,positive,grammatical,NN
rare,positive,subject,JJ
rate,positive,subject,NN
rating,positive,subject,NN
razor,positive,subject,NN
re-serve,positive,grammatical,NN
reachable,positive,subject,JJ
readily,positive,subject,RB
ready,positive,subject,JJ
realise,positive,subject,VB
realize,positive,subject,VB
reason,positive,grammatical,NN
reasonable,positive,grammatical,JJ
reasonably,positive,grammatical,RB
rebook,positive,grammatical,VB
receive,positive,subject,VB
recent,positive,subject,JJ
recently,positive,subject,RB
receptionist,positive,subject,NN
recognize,positive,subject,VB
recomend,positive,grammatical,VB
recommend,positive,subject,VB
recommendation,positive,subject,NN
refill,positive,subject,VB
reflect,positive,subject,VB
refreshing,positive,subject,VBG
refrigerator,positive,subject,NN
regard,positive,subject,NN
regency,positive,subject,NN
region,positive,subject,NN
regret,positive,subject,NN
regular,positive,subject,JJ
regularly,positive,subject,RB
relax,positive,subject,VB
relaxation,positive,subject,NN
relaxing,positive,subject,VBG
relief,positive,subject,NN
remember,positive,subject,VB
remote,positive,subject,RB
renovate,positive,subject,VB
rent,positive,subject,NN
rental,positive,subject,NN
replenish,positive,subject,VB
report,positive,subject,NN
represent,positive,subject,VB
request,positive,subject,NN
requirement,positive,subject,NN
research,positive,subject,NN
