keyword,translated_keyword,0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
不错 品,Good product,4,0,0,3,0,0,0,0,0,0
不错 品牌,Good brand,3,0,0,0,0,0,0,0,0,0
不错 品质,Good quality,17,0,0,9,6,0,0,0,0,0
不错 哒,Not bad,2,0,0,0,0,0,0,0,0,0
不错 哟,not bad,2,0,0,0,0,0,0,0,0,0
不错 哦,not bad,4,0,0,0,3,0,0,0,0,0
不错 商业,Good business,2,0,0,0,0,0,0,0,0,0
不错 商业街,Good commercial street,2,0,0,0,0,0,0,0,0,0
不错 商场,Nice mall,4,0,0,0,2,0,0,0,0,0
不错 商店,Nice shop,5,0,0,4,0,0,0,0,0,0
不错 噢,Not bad oh,2,0,0,0,0,0,0,0,0,0
不错 地,Nicely,3,0,0,2,0,0,0,0,0,0
不错 地址,Nice address,4,0,0,2,2,0,0,0,0,0
不错 地方,Nice place,33,0,4,11,8,2,8,0,0,0
不错 地段,Good location,67,0,3,27,21,3,10,0,2,0
不错 地点,Good location,36,0,0,14,14,0,7,0,0,0
不错 地理,Good geography,2,0,0,2,0,0,0,0,0,0
不错 地角,Not bad,2,0,0,0,0,0,0,0,0,0
不错 地铁,Good subway,5,0,0,3,2,0,0,0,0,0
不错 地铁站,Good subway station,2,0,0,0,0,0,0,0,0,0
不错 外景,Good location,2,0,0,0,2,0,0,0,0,0
不错 外观,Good appearance,6,0,0,0,2,0,3,0,0,0
不错 夜景,Good night view,41,0,0,5,13,4,13,0,5,0
不错 大堂,Nice lobby,11,0,0,3,2,2,3,0,0,0
不错 大小,Good size,11,0,2,2,5,0,0,0,0,0
不错 套餐,Good set meal,2,0,0,0,0,0,0,0,0,0
不错 好,Good good,2,0,0,0,0,0,0,0,0,0
不错 孩子,Nice kid,3,0,0,0,0,0,0,0,0,0
不错 安全,Good safe,2,0,0,0,0,0,0,0,0,0
不错 实惠,Good affordable,2,0,0,0,0,0,0,0,0,0
不错 客房,Nice rooms,4,0,0,0,0,2,0,0,0,0
不错 家,Good home,4,0,0,3,0,0,0,0,0,0
不错 宾馆,Nice hotel,9,0,0,3,3,2,0,0,0,0
不错 对面,Good opposite,7,0,0,2,3,2,0,0,0,0
不错 小,Nice small,3,0,0,0,2,0,0,0,0,0
不错 小店,Nice shop,6,0,0,2,3,0,0,0,0,0
不错 小样,Good sample,3,0,0,0,0,0,3,0,0,0
不错 居酒屋,Good izakaya,15,0,0,10,0,0,2,0,0,0
不错 布局,Nice layout,3,0,0,3,0,0,0,0,0,0
不错 希尔顿,Good hilton,2,0,0,0,0,0,0,0,0,0
不错 帮,Good help,3,0,0,0,0,0,0,0,0,0
不错 床,Nice bed,8,0,0,4,4,0,0,0,0,0
不错 店,Nice shop,27,0,3,12,8,2,2,0,0,0
不错 庭院,Nice courtyard,2,0,0,0,0,0,0,0,0,0
不错 影像,Good image,3,0,3,0,0,0,0,0,0,0
不错 态度,Good attitude,70,0,8,33,16,0,10,0,2,0
不错 性价比,Good value for money,242,0,23,114,73,4,24,0,3,0
不错 总体,Good overall,160,0,10,58,53,9,23,3,4,0
不错 情况,Good situation,5,0,0,2,2,0,0,0,0,0
不错 感受,Good feeling,11,0,0,9,0,0,0,0,0,0
不错 感觉,Good feeling,83,0,6,36,19,4,10,2,6,0
不错 我,Good i,3,0,0,0,2,0,0,0,0,0
不错 我们,Good we,2,0,0,2,0,0,0,0,0,0
不错 房,Nice room,11,0,0,2,4,2,3,0,0,0
不错 房价,Good price,3,0,0,0,0,0,0,0,0,0
不错 房间,Nice room,304,0,20,108,82,18,59,6,11,0
不错 拉面,Good ramen,4,0,0,0,2,0,0,0,0,0
不错 按摩椅,Nice massage chair,2,0,0,0,2,0,0,0,0,0
不错 推荐,Good recommended,13,0,2,4,3,0,4,0,0,0
不错 放假,Good holiday,2,0,0,0,0,0,0,0,0,0
不错 效果,Good effect,27,0,0,18,5,2,0,0,0,0
不错 整体,Good overall,105,0,5,34,38,4,20,2,2,0
不错 料,Not bad,2,0,0,0,2,0,0,0,0,0
不错 料理,Good cuisine,3,0,0,0,2,0,0,0,0,0
不错 方便,Good convenient,3,0,0,0,2,0,0,0,0,0
不错 方面,Good aspect,93,0,6,42,17,4,20,0,4,0
不错 旁边,Not bad next to,3,0,0,0,2,0,0,0,0,0
不错 旅游,Nice tourist,2,0,0,0,0,0,0,0,0,0
不错 旅行,Nice travel,6,0,0,2,0,0,3,0,0,0
不错 旅馆,Nice hotel,2,0,0,0,0,0,0,0,0,0
不错 日航,Good Nikko,2,0,0,0,0,0,0,0,0,0
不错 早歺,Good morning,2,0,0,0,0,0,0,0,0,0
不错 早餐,Good breakfast,666,0,33,258,231,37,85,10,12,0
不错 早饭,Good breakfast,54,0,4,22,18,3,7,0,0,0
不错 晚餐,Good dinner,10,0,0,0,0,2,5,0,0,0
不错 晚饭,Good dinner,2,0,0,0,0,0,0,0,0,0
不错 景,Good view,7,0,0,2,2,0,0,0,0,0
不错 景点,Good attractions,2,0,0,0,0,0,0,0,0,0
不错 景色,Nice view,102,0,7,18,20,23,26,0,7,0
不错 景观,Nice landscape,30,0,2,2,9,3,11,0,3,0
不错 朋友,Nice friend,3,0,0,0,0,0,0,0,0,0
不错 服务,Good service,869,0,65,274,286,27,173,23,21,0
不错 服务业,Service industry,5,0,0,2,2,0,0,0,0,0
不错 服务员,Nice waiter,5,0,0,2,2,0,0,0,0,0
不错 本身,Not bad itself,16,0,0,3,7,3,2,0,0,0
不错 村,Nice village,2,0,0,0,2,0,0,0,0,0
不错 条件,Good condition,43,0,6,18,12,0,6,0,0,0
不错 档次,Not bad grade,2,0,0,0,0,0,0,0,0,0
不错 楼下,Good downstairs,6,0,0,3,0,0,3,0,0,0
不错 楼层,Good floor,2,0,0,0,0,0,2,0,0,0
不错 氛围,Nice atmosphere,2,0,0,0,0,0,0,0,0,0
不错 水准,Good standard,4,0,0,0,0,0,0,0,2,0
不错 水平,Good level,5,0,0,0,3,0,0,0,0,0
不错 水果,Good fruit,2,0,0,2,0,0,0,0,0,0
不错 汉语,Good Chinese,3,0,0,3,0,0,0,0,0,0
不错 汤,Good soup,5,0,0,3,0,2,0,0,0,0
不错 沙滩,Nice beach,4,0,0,0,0,3,0,0,0,0
不错 泡汤,Good bathing,2,0,0,2,0,0,0,0,0,0
不错 泳池,Nice swimming pool,7,0,0,0,0,4,3,0,0,0
不错 洁度,Good cleanliness,2,0,0,0,2,0,0,0,0,0
不错 洗衣机,Good washing machine,2,0,0,0,0,0,0,0,0,0
不错 浴场,Nice bath,8,0,0,2,0,4,0,0,0,0
不错 浴室,Nice bathroom,4,0,0,3,0,0,0,0,0,0
不错 浴缸,Nice bathtub,4,0,0,0,0,0,0,0,0,0
不错 海景,Nice sea view,5,0,0,0,0,4,0,0,0,0
不错 清仓,Good clearance,4,0,0,0,4,0,0,0,0,0
不错 温泉,Nice spa,58,0,0,13,3,30,10,0,2,0
不错 游泳池,Nice swimming pool,8,0,0,0,0,0,3,0,3,0
不错 滴,Nice drop,15,0,0,4,3,2,5,0,0,0
不错 澡堂,Nice bathhouse,2,0,0,0,2,0,0,0,0,0
不错 灰,Good gray,3,0,0,2,0,0,0,0,0,0
不错 点,Good point,10,0,0,0,7,0,2,0,0,0
不错 烤肉店,Good rotisserie,2,0,0,2,0,0,0,0,0,0
不错 烧肉,Good roast pork,2,0,0,2,0,0,0,0,0,0
不错 热情,Good enthusiasm,3,0,0,2,0,0,0,0,0,0
不错 热汤,Good hot soup,2,0,0,2,0,0,0,0,0,0
不错 牌子,Good brand,2,0,0,0,0,0,0,2,0,0
不错 牛奶,Good milk,4,0,0,0,4,0,0,0,0,0
不错 牛肉,Good beef,3,0,0,0,0,0,0,0,0,0
不错 状况,Good condition,9,0,0,5,3,0,0,0,0,0
不错 环境,Good environment,714,0,37,248,210,41,136,19,23,0
不错 班车,Nice shuttle,3,0,0,0,2,0,0,0,0,0
不错 甜品,Nice dessert,4,0,0,0,0,2,0,0,0,0
不错 甜点,Nice dessert,2,0,0,0,2,0,0,0,0,0
不错 用品,Good supplies,30,0,0,9,7,0,11,0,0,0
不错 百货,Good department store,4,0,0,0,0,0,2,0,0,0
不错 真,Not bad really,2,0,0,2,0,0,0,0,0,0
不错 真心,Not bad really,28,0,0,8,8,5,6,0,0,0
不错 硬件,Good hardware,10,0,0,0,4,0,5,0,0,0
不错 离心斋桥,It’s not bad.,2,0,0,0,0,0,0,0,0,0
不错 种类,Good type,2,0,0,0,2,0,0,0,0,0
不错 程度,Good degree,5,0,0,0,4,0,0,0,0,0
不错 空气,Nice air,3,0,0,0,2,0,0,0,0,0
不错 空间,Nice space,15,0,0,8,5,0,0,0,0,0
不错 窗户,Nice windows,2,0,0,0,0,0,0,0,0,0
不错 管理,Good management,7,0,0,5,0,0,2,0,0,0
不错 细节,Nice details,9,0,0,0,6,0,2,0,0,0
不错 维护,Good maintenance,5,0,0,0,2,0,0,0,0,0
不错 网络,Good network,3,0,0,2,0,0,0,0,0,0
不错 美食,Good food,2,0,0,0,2,0,0,0,0,0
不错 自助餐,Good buffet,37,0,0,9,10,4,14,0,0,0
不错 自己,Good oneself,2,0,0,0,0,0,0,0,0,0
不错 舒适度,Good comfort,3,0,0,0,0,0,2,0,0,0
不错 花园,Nice garden,2,0,0,0,0,0,0,0,0,0
不错 英文,Good english,54,0,4,20,16,3,7,0,3,0
不错 英语,Good english,49,0,3,25,8,3,6,3,0,0
不错 茶,Good tea,3,0,0,0,0,0,0,0,0,0
不错 装修,Nice decoration,23,0,0,11,8,0,3,0,0,0
不错 西餐,Good western food,4,0,0,0,2,0,0,0,0,0
不错 视野,Good view,22,0,0,4,8,0,7,0,2,0
不错 订,Good order,2,0,0,2,0,0,0,0,0,0
不错 设备,Good equipment,13,0,0,3,6,0,3,0,0,0
不错 设施,Good facilities,370,0,9,121,105,25,81,15,14,0
不错 设计,Nice design,8,0,0,3,3,0,0,0,2,0
不错 评价,Good review,9,0,0,6,0,0,0,0,0,0
不错 话,Good words,3,0,0,0,0,0,2,0,0,0
不错 质,Good quality,2,0,0,0,0,0,0,0,0,0
不错 质量,Good quality,24,0,0,8,5,0,9,0,0,0
不错 购物,Good shopping,9,0,0,2,2,2,2,0,0,0
不错 走路,Good walk,2,0,0,2,0,0,0,0,0,0
不错 超市,Nice supermarket,10,0,0,5,2,0,2,0,0,0
不错 路线,Good route,2,0,0,0,0,0,0,0,0,0
不错 轮,Nice round,2,0,0,0,2,0,0,0,0,0
不错 软件,Good software,3,0,0,0,0,0,0,0,0,0
不错 软硬件,Good hardware and software,3,0,0,0,0,0,0,0,2,0
不错 运气,Good luck,2,0,0,0,0,0,0,0,0,0
不错 这个,Not bad this,12,0,0,2,8,0,0,0,0,0
不错 这样,Not bad like this,2,0,0,0,0,0,0,0,0,0
不错 这里,Good here,4,0,0,0,0,3,0,0,0,0
不错 选择,Good choice,198,0,7,79,70,11,24,0,6,0
不错 速度,Good speed,10,0,0,3,6,0,0,0,0,0
不错 那,Good that,2,0,0,0,0,0,0,0,0,0
不错 配套,Good package,3,0,0,0,3,0,0,0,0,0
不错 配置,Good configuration,3,0,0,2,0,0,0,0,0,0
不错 酒吧,Nice bar,4,0,0,0,0,3,0,0,0,0
不错 酒店,Nice hotel,1462,0,59,457,440,95,318,43,50,0
不错 酒廊,Nice lounge,2,0,0,0,0,0,2,0,0,0
不错 采光,Good lighting,2,0,0,2,0,0,0,0,0,0
不错 里面,Good inside,2,0,0,0,0,0,0,0,0,0
不错 量,Good amount,2,0,0,0,0,0,0,0,0,0
不错 铁板烧,Good teppanyaki,3,0,0,0,0,0,2,0,0,0
不错 门口,Good doorway,2,0,0,0,0,0,0,0,0,0
不错 附近,Not bad nearby,3,0,0,2,0,0,0,0,0,0
不错 隔离,Good isolation,2,0,0,0,2,0,0,0,0,0
不错 隔音,Good soundproof,29,0,0,13,9,0,5,0,0,0
不错 面,Good noodles,2,0,0,0,0,0,0,0,0,0
不错 面包店,Good bakery,4,0,0,0,4,0,0,0,0,0
不错 面积,Good area,7,0,0,2,0,0,3,0,0,0
不错 音响,Good stereo,2,0,0,0,0,0,0,0,0,0
不错 预定,Good book,2,0,0,0,0,0,2,0,0,0
不错 风景,Nice scenery,76,0,5,16,15,16,20,0,3,0
不错 风格,Nice style,6,0,0,3,2,0,0,0,0,0
不错 食物,Good food,7,0,0,2,3,0,0,0,0,0
不错 餐,Good meal,12,0,0,3,2,0,6,0,0,0
不错 餐厅,Nice restaurant,44,0,2,14,10,7,10,0,0,0
不错 餐食,Good meal,5,0,0,0,2,0,2,0,0,0
不错 餐饮,Good dining,13,0,0,5,0,2,5,0,0,0
不错 餐馆,Nice restaurant,8,0,0,3,3,0,2,0,0,0
不错 饭,Good meal,3,0,0,0,0,0,0,0,0,0
不错 饭团,Good rice ball,2,0,0,0,0,0,0,0,0,0
不错 饭店,Nice hotel,18,0,0,6,4,3,4,0,0,0
不错 饭馆,Good restaurant,8,0,0,7,0,0,0,0,0,0
不错 饮料,Good drink,2,0,0,0,0,0,0,0,0,0
不错 鸡肉,Good chicken,2,0,0,2,0,0,0,0,0,0
不错 鸡蛋,Nice eggs,2,0,0,2,0,0,0,0,0,0
不错 ！！,Not bad! !,5,0,0,0,3,0,0,0,0,0
不错 👍,Not bad 👍,16,0,0,7,5,2,2,0,0,0
不错 😊,Not bad 😊,2,0,0,0,0,0,0,0,0,0
五星级,Five star,179,0,0,12,39,11,84,14,19,0
五星级 品质,Five-star quality,2,0,0,0,0,0,0,0,0,0
五星级 大堂,Five-star lobby,2,0,0,0,2,0,0,0,0,0
五星级 宾馆,Five-star hotel,3,0,0,0,0,0,2,0,0,0
五星级 房间,Five-star room,2,0,0,0,0,0,2,0,0,0
五星级 标准,Five-star standard,8,0,0,0,0,0,7,0,0,0
五星级 水平,Five-star level,3,0,0,0,0,0,2,0,0,0
五星级 酒店,five star hotel,121,0,0,7,23,7,57,13,14,0
交通,traffic,6560,0,235,2233,2536,263,1085,92,116,0
享用,Enjoy,49,0,0,20,6,14,9,0,0,0
人员,personnel,1517,0,88,538,392,88,310,43,58,0
住,live,11028,0,386,3433,3484,689,2449,235,352,0
便利,convenient,2643,0,91,896,1013,108,430,45,60,0
便利 中心,Convenience Center,3,0,0,0,0,0,2,0,0,0
便利 交通,Convenient transportation,1630,0,54,535,629,70,277,26,39,0
便利 位置,Convenient location,161,0,12,61,54,7,19,3,5,0
便利 公交车,Convenience,3,0,0,0,2,0,0,0,0,0
便利 出行,Convenience,86,0,2,41,23,3,14,2,0,0
便利 卫生,Convenience and hygiene,2,0,0,0,0,0,0,0,0,0
便利 吃住行,Convenience,4,0,0,4,0,0,0,0,0,0
便利 吃饭,Convenience,19,0,0,7,7,0,4,0,0,0
便利 周围,Convenience,10,0,0,5,3,0,0,0,0,0
便利 周边,Convenience,24,0,0,14,7,2,0,0,0,0
便利 商场,Convenience shopping mall,3,0,0,0,2,0,0,0,0,0
便利 商店,Convenience store,3,0,0,0,3,0,0,0,0,0
便利 地方,Convenient place,10,0,0,4,4,2,0,0,0,0
便利 地段,Convenience,5,0,0,0,3,0,0,0,0,0
便利 地点,Convenient location,4,0,0,0,2,0,0,0,0,0
便利 地铁,Convenient subway,9,0,0,0,5,0,2,0,0,0
便利 地铁站,Convenient subway station,6,0,0,0,5,0,0,0,0,0
便利 大巴,Convenient bus,4,0,0,0,4,0,0,0,0,0
便利 家,Convenience,2,0,0,0,0,0,0,0,0,0
便利 对面,Convenient opposite,3,0,0,0,3,0,0,0,0,0
便利 屋,Convenience,3,0,0,0,3,0,0,0,0,0
便利 巴士,Convenient bus,4,0,0,2,0,0,0,0,0,0
便利 巴士站,Convenient bus stop,2,0,0,0,2,0,0,0,0,0
便利 店,Convenience store,11,0,0,4,3,0,0,0,0,0
便利 度,Convenience,2,0,0,0,0,2,0,0,0,0
便利 房间,Convenience Room,8,0,0,2,5,0,0,0,0,0
便利 早餐,Convenience breakfast,2,0,0,0,0,0,0,0,0,0
便利 服务,Convenience service,4,0,0,0,0,0,4,0,0,0
便利 机场,Convenience airport,3,0,0,0,2,0,0,0,0,0
便利 楼下,Convenient downstairs,2,0,0,0,2,0,0,0,0,0
便利 步行,Convenient on foot,3,0,0,0,3,0,0,0,0,0
便利 热情,Convenience and passion,2,0,0,0,0,0,2,0,0,0
便利 环境,Convenient environment,8,0,0,3,4,0,0,0,0,0
便利 生活,Convenient life,11,0,0,5,4,0,2,0,0,0
便利 站,Convenience station,2,0,0,2,0,0,0,0,0,0
便利 罗森,Convenience Rosen,2,0,0,0,0,0,0,0,0,0
便利 美食,Convenience,2,0,0,0,0,0,0,0,0,0
便利 设施,Conveniences,6,0,0,3,2,0,0,0,0,0
便利 购物,Convenience shopping,78,0,0,21,45,0,9,0,0,0
便利 超市,Convenience supermarket,4,0,0,2,2,0,0,0,0,0
便利 车站,Convenient station,3,0,0,2,0,0,0,0,0,0
便利 酒店,Convenience Hotel,42,0,0,14,16,0,9,0,0,0
便利 重要,Convenient important,2,0,0,0,0,0,0,0,0,0
便利 铁线,Convenience,2,0,0,0,2,0,0,0,0,0
便利 附近,Convenient nearby,3,0,0,2,0,0,0,0,0,0
便利 餐饮,Convenience,14,0,0,0,11,0,0,0,0,0
便利 饮食,Convenience,4,0,0,3,0,0,0,0,0,0
便利 鸡,Convenience chicken,2,0,0,0,2,0,0,0,0,0
出行,Travel,2274,0,83,748,853,85,429,26,50,0
卫生,health,2279,0,147,1021,730,68,262,27,23,0
可以,can,8761,0,540,2977,2536,735,1649,138,186,0
吃,eat,2768,0,122,924,840,372,404,51,55,0
周边,Surrounding,3090,0,133,1055,995,261,530,65,51,0
园林,garden,9,0,0,4,0,0,2,0,0,0
地方,local,2156,0,119,773,683,149,359,39,34,0
地铁,subway,4321,0,156,1624,1606,123,686,46,80,0
地铁站,subway station,3012,0,143,1118,1067,76,500,49,59,0
坐,sit,1868,0,112,686,564,135,321,21,29,0
塔楼,tower,22,0,0,0,10,0,0,10,0,0
大,Big,9844,0,465,3269,2851,715,2058,208,278,0
大 1,Big 1,12,0,0,0,8,4,0,0,0,0
大 2,Big 2,2,0,0,0,0,0,2,0,0,0
大 a,Big a,3,0,0,0,0,0,0,0,3,0
大 l,Large l,7,0,0,3,0,0,2,0,0,0
大 o,Big o,3,0,0,2,0,0,0,0,0,0
大 r,Big r,3,0,0,0,2,0,0,0,0,0
大 s,Big s,2,0,0,0,0,2,0,0,0,0
大 t,Big t,2,0,0,0,0,0,0,0,0,0
大 一,Big one,84,0,4,36,27,8,9,0,0,0
大 一些,Bigger,11,0,0,5,4,0,0,0,0,0
大 一如既往,Big as always,2,0,0,0,0,0,0,0,0,0
大 一点,bigger,3,0,0,0,0,0,0,0,0,0
大 一点点,Big a little bit,3,0,0,0,2,0,0,0,0,0
大 上,Big up,3,0,0,0,0,0,2,0,0,0
大 不少,A lot,3,0,0,0,2,0,0,0,0,0
大 不足,Big insufficient,6,0,0,0,3,2,0,0,0,0
大 不错,Big good,4,0,0,0,0,0,0,0,0,0
大 世界,Big world,4,0,3,0,0,0,0,0,0,0
大 东,Dadong,3,0,0,0,2,0,0,0,0,0
大 东京,Greater Tokyo,4,0,0,0,0,0,2,0,0,0
大 两,Big two,12,0,0,3,5,0,0,0,0,0
大 个,Big one,2,0,0,2,0,0,0,0,0,0
大 中国,Great China,2,0,0,0,0,0,0,0,0,0
大 中心,Big center,30,0,0,11,7,9,3,0,0,0
大 中转站,Big transfer station,3,0,0,0,2,0,0,0,0,0
大 主楼,Main building,3,0,0,0,0,0,0,0,0,0
大 书店,Big bookstore,2,0,0,0,0,0,0,0,0,0
大 了,Big,2,0,0,0,2,0,0,0,0,0
大 井町,Oimachi,2,0,0,2,0,0,0,0,0,0
大 井町站,Oimachi Station,2,0,0,2,0,0,0,0,0,0
大 些,bigger,6,0,0,2,3,0,0,0,0,0
大 交通,Big traffic,5,0,0,0,4,0,0,0,0,0
大 享受,Great enjoyment,4,0,0,0,3,0,0,0,0,0
大 京都,Greater Kyoto,5,0,0,4,0,0,0,0,0,0
大 京都站,Kyoto Station,4,0,0,4,0,0,0,0,0,0
