RID,HotelID,HotelName,EnglishHotelName,HotelScore,LocationScore,ServicesScore,FacilitiesScore,HealthScore,HotelPrice
43,6515946,"今里旅馆（只限女性）
Imazato Guest House (Female Only)",Imazato Guest House (Female Only),4.4,4.6,4.4,4.6,4.5,3260.0
44,6514136,"西田边城市酒店
City Inn Nishi Tanabe",City Inn Nishi Tanabe,,,,,,4693.0
45,218043,"难波阿波罗四人家庭公寓
Apollo 4 Person Family Apartment at Namba",Apollo 4 Person Family Apartment at Namba,4.4,4.4,4.4,4.4,4.4,
46,6512886,"梅苑商务酒店
Business Hotel Plum Field",Business Hotel Plum Field,,,,,,4100.0
47,218163,"日光小森林旅馆
Little Forest Inn Nikko",Little Forest Inn Nikko,,,,,,12026.0
48,218166,"友好旅馆
Pension Friendly",Pension Friendly,4.0,4.0,3.8,4.0,3.9,12026.0
49,6514195,"长谷川宾馆
Hasegawa Inn",Hasegawa Inn,4.4,4.4,4.2,4.3,4.3,
50,218223,"它卡门酒店
Takamado",Takamado,3.7,3.6,3.6,3.5,3.6,
51,7084127,"观松酒店
Hotel Mimatsu",Hotel Mimatsu,3.3,4.3,3.5,4.5,3.9,
52,218250,"那霸大屋戶奥萨鲁罗旅馆
Osaruno Oyado Naha",Osaruno Oyado Naha,4.0,4.0,4.0,3.5,3.9,
53,218375,"太东旅馆
Taito Ryokan",Taito Ryokan,,,,,,7000.0
54,218396,"新大久保石亭酒店
Shin Okubo Sekitei",Shin Okubo Sekitei,4.6,4.6,4.3,4.5,4.5,9259.0
55,218418,"科哈玛搜民宿旅馆
Minshuku Kohamasou",Minshuku Kohamasou,,,,,,8600.0
56,218464,"金克洛宾馆
Jinkuro",Jinkuro,4.5,4.0,4.5,4.0,4.3,19940.0
57,218471,"宿松井酒店
Yado Matsui",Yado Matsui,,,,,,9000.0
58,6995945,"飛騨高山温泉宾馆
Muhyoukan",Muhyoukan,4.5,5.0,5.0,5.0,4.9,9098.0
59,6651367,"故里酒店
Furusato",Furusato,,,,,,29005.0
60,6412474,"飞騨路传统日式旅馆
Hidaji",Hidaji,4.8,4.8,4.8,4.8,4.8,50018.0
61,8150628,"山里草冈日式旅馆
Yamazatonoiori Soene",Yamazatonoiori Soene,,,,,,
62,7003397,"高崎城市酒店
Takasaki Urban Hotel",Takasaki Urban Hotel,,,,,,7418.0
63,6999162,"静冈北口桑科酒店
Sanco Inn Shizuoka Kitaguchi",Sanco Inn Shizuoka Kitaguchi,,,,,,6670.0
64,218662,"萨佛罗Spa酒店
Spa Safro",Spa Safro,,,,,,3600.0
65,218751,"山水庄日式旅馆
Ryokan Sansuiso",Ryokan Sansuiso,4.5,5.0,3.5,5.0,4.5,9200.0
66,6257243,"网走太阳酒店
Hotel Sun Abashiri",Hotel Sun Abashiri,3.9,3.9,3.8,3.9,3.9,3545.0
67,6253740,"渡高别墅式酒店
Hotel Villa Dogo",Hotel Villa Dogo,3.2,3.2,3.2,3.2,3.2,7269.0
68,6310446,"松山提苏贝卡安娜酒店
Hotel Tsubakikan Annex Matsuyama",Hotel Tsubakikan Annex Matsuyama,4.4,4.7,4.7,4.7,4.6,17280.0
69,6516415,"草上飞酒店
Grass Hopper",Grass Hopper,,,,,,10529.0
70,6206982,"尼米旅馆
Pension Niimi",Pension Niimi,,,,,,12974.0
71,218981,"双黑酒店
Double Black Hotel",Double Black Hotel,,,,,,27400.0
72,6287163,"白马村态嘉酒店
Hotel Taigakukan Hakuba",Hotel Taigakukan Hakuba,,,,,,61302.0
73,6276634,"阳光谷酒店
Hotel Sunny Valley",Hotel Sunny Valley,,,,,,15800.0
74,7003992,"加拿大悟龙村酒店
Canadian Village Goryu",Canadian Village Goryu,,,,,,12974.0
75,6276689,"兰唐里郎旅馆
Pension Rantanrirun",Pension Rantanrirun,,,,,,9015.0
76,219005,"白马流星山林小屋
Hakuba Meteor Lodge",Hakuba Meteor Lodge,,,,,,10013.0
77,6276740,"白马山野酒店
Hakuba Yamano Hotel",Hakuba Yamano Hotel,,,,,,16683.0
78,8197966,"东根拉雪酒店
Hotel La Neige Honkan",Hotel La Neige Honkan,4.2,4.2,4.2,4.2,4.2,43987.0
79,8383877,"松之木亭酒店
Matsunoki-Tei",Matsunoki-Tei,,,,,,11880.0
80,6254229,"诺奇格画廊旅舍
Gallery & Lodge Noichigo",Gallery & Lodge Noichigo,,,,,,6196.0
81,2507661,"博多绿色酒店 1 号馆
Hakata Green Hotel No.1",Hakata Green Hotel No.1,4.4,4.1,4.2,4.3,4.3,11945.0
82,219171,"汤田中和平旅馆
Yudanaka Yasuragi",Yudanaka Yasuragi,5.0,5.0,5.0,5.0,5.0,8267.0
83,3743004,"洗心馆 松屋
Senshinkan Matsuya",Senshinkan Matsuya,4.6,4.6,4.6,4.6,4.6,8017.0
84,6276729,"地狱谷温泉后乐馆
Jigokudani Onsen Korakukan",Jigokudani Onsen Korakukan,4.2,4.2,4.2,4.2,4.2,26045.0
85,7855292,"山中湖花园屋酒店
Garden Shed Yamanakako",Garden Shed Yamanakako,,,,,,28800.0
86,3176794,"Gracy Tomamu小旅馆
Petit Hotel Gracy Tomamu",Petit Hotel Gracy Tomamu,3.1,3.2,3.2,3.3,3.2,42500.0
87,7193465,"高野山惠光院
Shukubo Koya-San Eko-in Temple",Shukubo Koya-San Eko-in Temple,4.5,4.5,4.5,4.5,4.5,22222.0
88,348245,"龟时间旅馆
Guest House Kamejikan",Guest House Kamejikan,3.9,4.0,3.9,4.0,4.0,14820.0
89,7007667,"库沙洛克酒店
Kussharoko Hotel",Kussharoko Hotel,,,,,,4068.0
90,4310185,"新泻妙高・山里温泉旅馆 香風館
Kofukan Niigata",Kofukan Niigata,,,,,,6111.0
91,348300,"老斯特林膳食公寓酒店
Pension Old String",Pension Old String,,,,,,10013.0
92,6651347,"自然纯21号酒店
Natural House Pure 21",Natural House Pure 21,,,,,,6953.0
93,7003388,"汤本馆
Yumotokan",Yumotokan,,,,,,30858.0
94,6515964,"格兰卡萨酒店
Hotel Gran Casa",Hotel Gran Casa,3.9,4.0,3.9,4.0,3.9,5738.0
95,6512730,"笛吹石和中央公寓
Isawa Central Fuefuki",Isawa Central Fuefuki,,,,,,9830.0
96,8059415,"糸柳酒店
Itoyanagi",Itoyanagi,,,,,,26300.0
97,7936218,"瓦约恩酒店
Wajoen",Wajoen,,,,,,72360.0
98,6515965,"富士吉田西旅馆
West Inn Fuji-Yoshida",West Inn Fuji-Yoshida,4.6,4.6,4.5,4.6,4.6,12435.0
99,348399,"犬山国际青年旅舍
Inuyama International Youth Hostel",Inuyama International Youth Hostel,,,,,,3509.0
100,348407,"汤的里青年旅馆
Yunosato Youth Hostel",Yunosato Youth Hostel,3.0,3.0,4.0,4.0,3.5,3809.0
101,1651331,"指宿海上酒店
Ibusuki Kaijo Hotel",Ibusuki Kaijo Hotel,4.6,4.4,4.2,4.2,4.4,6685.0
102,348411,"塔玛雅青年旅舍
Tamaya Youth Hostel",Tamaya Youth Hostel,4.0,4.0,4.0,4.0,4.0,2611.0
103,6256122,"彦根湖滨酒店
Hotel Lakeland Hikone",Hotel Lakeland Hikone,4.1,4.0,4.0,4.0,4.0,4524.0
104,6994924,"诺托吉疗养酒店
Hotel Wellness Notoji",Hotel Wellness Notoji,,,,,,6487.0
105,6256584,"翠湖膳食公寓
Pension Green Lake",Pension Green Lake,,,,,,11600.0
106,6664863,"三原雅日式旅馆
Miharaya Ryokan",Miharaya Ryokan,,,,,,6487.0
107,6514198,"西宫荘酒店
Nishimiyasou",Nishimiyasou,4.1,4.1,4.2,4.1,4.1,10300.0
108,6375007,"友好旅舍
Friendly Inn People",Friendly Inn People,,,,,,7418.0
109,6996473,"里拉克丝旅馆
Guest House Relax",Guest House Relax,4.7,4.7,4.7,4.7,4.7,
110,6447817,"但马屋酒店
Tajimaya",Tajimaya,4.5,4.5,4.5,4.5,4.5,
111,6398543,"伊贺罗莎布兰卡酒店
Rosa Blanca Iga",Rosa Blanca Iga,,,,,,11598.0
112,6998397,"奈良加藤旅馆
Ryokan Kato Nara",Ryokan Kato Nara,3.7,3.8,3.7,3.9,3.8,14683.0
113,3176558,"阿萨内博酒店
Asanebo",Asanebo,,,,,,17615.0
114,348623,"祖库梅古酒店
Megu House ZuKu",Megu House ZuKu,,,,,,6500.0
115,1643152,"路线酒店-第2诹访交流道
Hotel Route Inn Suwa Inter2",Hotel Route Inn Suwa Inter2,2.9,3.5,3.4,3.5,3.3,5976.0
116,6253697,"昭和新山青年旅舍
Showa Shinzan Youth Hostel",Showa Shinzan Youth Hostel,3.1,3.3,3.2,3.2,3.2,4457.0
117,6995399,"奥诺酒店
Pension Ohno",Pension Ohno,4.4,4.4,4.4,4.4,4.4,
118,6691559,"入舟旅馆
Irifune",Irifune,4.4,4.4,4.3,4.3,4.3,5740.0
119,2254562,"野泽大酒店
Nozawa Grand Hotel",Nozawa Grand Hotel,4.5,4.5,4.2,4.5,4.4,10828.0
120,6343443,"哈南卡姆山林小屋
Lodge Hahnenkamm",Lodge Hahnenkamm,,,,,,8716.0
121,6552187,"塔纳霍夫旅馆
Pension Tannenhof",Pension Tannenhof,,,,,,13905.0
122,7011872,"顿比旅馆
Lodge Denbey",Lodge Denbey,,,,,,14058.0
123,348730,"千岁度假酒店
Resort Inn Chitose",Resort Inn Chitose,,,,,,17000.0
124,6164412,"库玛库麻皮纳兹宾馆
Peanuts House Kumakuma",Peanuts House Kumakuma,5.0,5.0,5.0,5.0,5.0,9181.0
125,348740,"阿塔拉西亚酒店
Atarashiya",Atarashiya,,,,,,
126,6343448,"枞树旅馆
Mominoki",Mominoki,,,,,,
127,6167870,"藤吉酒店
Fujiyoshi",Fujiyoshi,,,,,,17000.0
128,6375003,"哈图谷鲁玛川端酒店
Hatoguruma Kawabata",Hatoguruma Kawabata,,,,,,10584.0
129,348776,"萨伊永康酒店
Sanyokan",Sanyokan,2.9,2.9,2.9,2.9,2.9,5522.0
130,3123085,"那须中央城市酒店
Nasu Midcity Hotel",Nasu Midcity Hotel,,,,,,6196.0
131,348788,"茂木小木屋式宾馆
Cottage Mogi Log House",Cottage Mogi Log House,,,,,,21773.0
132,348789,"茂木小屋式酒店
Cottage Mogi",Cottage Mogi,,,,,,21773.0
133,7003944,"蒙古村腾格尔酒店
Mongolia Village Tenger",Mongolia Village Tenger,,,,,,10213.0
134,3122706,"那须高原周年纪念宾馆
Pension Anniversary",Pension Anniversary,,,,,,6770.0
135,6515926,"叶尔酒店
Gasthof Yell",Gasthof Yell,,,,,,19000.0
136,8624901,"梅屋日式旅馆
Umeya",Umeya,,,,,,26015.0
137,5494183,"今归仁之宿芙蓉酒店
Nakijin No Yado Hibiscus",Nakijin No Yado Hibiscus,3.0,3.0,3.0,3.0,3.0,8267.0
138,6515943,"志摩雨珠瑞亚温泉酒店
Shima Yuzuriha Hot Spring Inn",Shima Yuzuriha Hot Spring Inn,,,,,,21308.0
139,348938,"山形藏王温泉酒店
Yamagata Zao Pension Aplon Stage",Yamagata Zao Pension Aplon Stage,,,,,,8167.0
140,1500479,"軽井泽酒店龙吟居
Karuizawa Hotel Longing House",Karuizawa Hotel Longing House,4.6,4.6,4.6,4.6,4.6,22239.0
141,5620723,"樱井大和健康酒店
Hotel Wellness Yamatoji Sakurai",Hotel Wellness Yamatoji Sakurai,,,,,,14720.0
142,5617263,"大阪多武峰观光酒店
Tounomine Kanko Hotel Osaka",Tounomine Kanko Hotel Osaka,,,,,,28887.0
143,1677897,"贝斯尤观光酒店
Kawasemi No Yado",Kawasemi No Yado,,,,,,24019.0
144,6654252,"长野县绿屋吉右卫门
Nagano Shinshu Bessho Onsen Midoriya Kichiemon",Nagano Shinshu Bessho Onsen Midoriya Kichiemon,,,,,,10906.0
145,349041,"上田西洋哈他哥馆酒店
Ueda Seiyo Hatagokan",Ueda Seiyo Hatagokan,,,,,,
146,3125864,"冲浪冶炼酒店
Wakasagi No Yado",Wakasagi No Yado,,,,,,
147,6343689,"豪士瑞欧肯酒店
Hoshi Ryokan",Hoshi Ryokan,,,,,,18882.0
148,349063,"新高桥克亚带酒店
Hotel New Takahashi Kouyadai",Hotel New Takahashi Kouyadai,,,,,,4457.0
149,1658548,"高半旅馆
Takahan",Takahan,4.6,4.6,4.6,4.6,4.6,9215.0
150,5468920,"格林索旅馆
Ryokan Greenso",Ryokan Greenso,4.0,5.0,5.0,5.0,4.8,
151,349103,"千寿庄
Senjusou",Senjusou,,,,,,14300.0
152,7597987,"斑鸠酒店
Ikaruga Hotel",Ikaruga Hotel,4.0,3.9,3.8,4.0,3.9,8576.0
153,349144,"书林酒店
Shurin",Shurin,,,,,,
154,349147,"世嘉季节庄园酒店
Pension Quatre Saisons",Pension Quatre Saisons,,,,,,13600.0
155,349157,"弯弓海滩旅馆
Pension Yumigahama",Pension Yumigahama,,,,,,6503.0
156,6994827,"与茂四郎民宿旅馆
Minshuku Yomoshirou",Minshuku Yomoshirou,,,,,,19000.0
157,6994833,"吉野家旅馆
Yoshinoya Ryokan",Yoshinoya Ryokan,,,,,,9015.0
158,349173,"Moritake Onsen Hotel
Moritake Onsen Hotel",Moritake Onsen Hotel,,,,,,20400.0
159,349197,"后乐酒店
Koraku",Koraku,,,,,,
160,6245437,"松江假日酒店附楼
Matsue Plaza Hotel Annex",Matsue Plaza Hotel Annex,,,,,,
161,6245441,"松江假日酒店
Matsue Plaza Hotel",Matsue Plaza Hotel,3.8,3.7,3.5,3.7,3.7,7529.0
162,6346442,"侧芮玛膳宿酒店
Pension Chermaman",Pension Chermaman,3.4,4.0,2.6,4.4,3.6,11494.0
163,3123433,"福冈久留米Select Inn酒店
Hotel Select Inn Kurume Fukuoka",Hotel Select Inn Kurume Fukuoka,,,,,,13523.0
164,371672,"旭日旅馆
Asahi Guest House",Asahi Guest House,4.1,4.0,4.1,4.1,4.1,1413.0
165,373495,"阿苏巴瑟背包客酒店
Aso Base Backpackers",Aso Base Backpackers,4.4,4.4,4.4,4.5,4.4,2611.0
166,6128887,"棚田旅馆
Ryokan Tanada",Ryokan Tanada,,,,,,3260.0
167,383090,"托玛瑞吉酒店
Tomarigi",Tomarigi,,,,,,
168,383459,"快乐尼高酒店
Happy Neko",Happy Neko,4.5,4.6,4.2,4.6,4.5,4800.0
169,6254315,"南国贵宾商务酒店
Business Hotel VIP Nangoku",Business Hotel VIP Nangoku,,,,,,3908.0
170,6995122,"鸟取因幡健康酒店
Hotel Wellness InabajiTottori",Hotel Wellness InabajiTottori,,,,,,18680.0
171,383742,"拉布拉多膳食公寓酒店
Pension Labrador",Pension Labrador,4.1,4.2,4.0,4.2,4.1,10800.0
172,1483184,"勃朗峰白马酒店
Hotel Montblanc Hakuba",Hotel Montblanc Hakuba,,,,,,14370.0
173,6129089,"内村深山酒店
Inner Village Miyama",Inner Village Miyama,,,,,,14452.0
174,6370823,"京都新道櫻庵
Sakura-an Kyoto",Sakura-an Kyoto,,,,,,35000.0
175,395322,"白谷民宿
Minshuku Shiratani",Minshuku Shiratani,,,,,,10800.0
176,395719,"中谷住宿加早餐酒店
Nakaya B&B",Nakaya B&B,4.5,4.5,4.5,4.5,4.5,13000.0
177,1655097,"广岛聚景庄酒店
JukeisoHiroshima",JukeisoHiroshima,,,,,,34222.0
178,397659,"女台场民宿
Minshuku Onnadaiba",Minshuku Onnadaiba,,,,,,8000.0
179,6997745,"割烹玛米亚旅馆
Kappo Ryokan Momiya",Kappo Ryokan Momiya,4.0,4.0,5.0,5.0,4.5,53806.0
180,397686,"美优木屋旅馆
Ryokan Miyukiya",Ryokan Miyukiya,4.3,4.3,4.2,4.2,4.3,12600.0
181,397708,"札幌拉斯索酒店
Hotel Rasso Susukino",Hotel Rasso Susukino,,,,,,4150.0
182,397710,"格洛丽亚胶囊酒店
Capsule Hotel Gloria",Capsule Hotel Gloria,,,,,,5000.0
183,6535125,"山湖旅馆及小屋
Pension & Cottage Mont et Lac",Pension & Cottage Mont et Lac,4.8,4.8,4.8,4.8,4.8,
184,398171,"西湖红叶台露营场
Kouyoudai Camp Village",Kouyoudai Camp Village,,,,,,
185,398174,"梅之木旅馆
Pension Sumomo No Ki",Pension Sumomo No Ki,5.0,5.0,5.0,5.0,5.0,
186,398179,"山彦民宿
Minshuku Yamabiko",Minshuku Yamabiko,4.0,4.1,4.0,4.1,4.0,55000.0
187,398181,"山中湖阿波罗酒店
Yamanakako Apollo Hotel",Yamanakako Apollo Hotel,,,,,,
188,6455114,"新八景园
New Hakkeien",New Hakkeien,,,,,,21188.0
189,398202,"新层次别墅
Sankaiso Villa",Sankaiso Villa,,,,,,
190,398213,"卡普里别墅酒店
Villa Capri",Villa Capri,,,,,,
191,398234,"临泉阁
Rinsenkaku",Rinsenkaku,,,,,,
192,398241,"紫云小仓旅馆
Shiunkaku Hotel Ogura",Shiunkaku Hotel Ogura,,,,,,35000.0
193,398253,"川奈度假楼
Kawana Resort House",Kawana Resort House,,,,,,
194,398261,"云见温泉旅馆
Kumomi Onsen Demise",Kumomi Onsen Demise,,,,,,36640.0
195,6164686,"可可洛诺多卡日式旅馆
Kokoronodoka",Kokoronodoka,5.0,5.0,5.0,5.0,5.0,11249.0
196,7011483,"土佐国民宿舍
Hotel Kokuminsyukusya Tosa",Hotel Kokuminsyukusya Tosa,3.6,3.5,3.3,3.3,3.5,4693.0
197,398331,"尤库茹宾馆
Guest House Yukuru",Guest House Yukuru,,,,,,
198,398334,"格兰皮亚纳米利雅酒店
Granpia Naminoue",Granpia Naminoue,,,,,,
199,398356,"松山青年旅馆
Matsuyama Youth Hostel",Matsuyama Youth Hostel,,,,,,35000.0
200,6664861,"白川村普瑞米尔宾馆
Premier Inn Shirakawa",Premier Inn Shirakawa,,,,,,8036.0
201,398406,"花园市区青年旅馆
Hanazono Downtown Hostel",Hanazono Downtown Hostel,,,,,,
202,403010,"萌树酒店
Hotel Moegi",Hotel Moegi,,,,,,18000.0
203,3161032,"马路纳卡酒店
Marunaka Lodge",Marunaka Lodge,4.3,4.4,4.3,4.4,4.3,6520.0
204,403031,"商務賓館 九龍城
Business Hotel Kuronjyo",Business Hotel Kuronjyo,3.6,3.5,3.4,3.5,3.5,19500.0
205,403039,"幸乐酒店
Ryokan Kouraku Hotel",Ryokan Kouraku Hotel,,,,,,35000.0
206,403065,"勘热海温泉俱乐部酒店
Atami Onsen Hotel Sunmi Club Bekkan",Atami Onsen Hotel Sunmi Club Bekkan,,,,,,26053.0
207,406300,"蓬莱函馆宾馆
Hakodate Guest House Horai",Hakodate Guest House Horai,,,,,,
208,406493,"长崎天主教中心青年旅馆
Catholic Center Nagasaki Youth Hostel",Catholic Center Nagasaki Youth Hostel,4.0,4.4,4.2,4.2,4.2,5000.0
209,406518,"老松酒店
Hotel Oimatsu",Hotel Oimatsu,,,,,,9600.0
210,406676,"京都乌丸五条超级酒店
Super Hotel Kyoto Karasumagojo",Super Hotel Kyoto Karasumagojo,,,,,,7500.0
211,406693,"欢子客栈
Minsyuku Yoshiko",Minsyuku Yoshiko,,,,,,
212,406725,"流川Sejour酒店
Sejour Inn Nagarekawa",Sejour Inn Nagarekawa,,,,,,8500.0
213,406764,"高岛屋旅馆
Takashimaya Ryokan",Takashimaya Ryokan,,,,,,19250.0
214,406781,"诺阿家庭民宿旅馆
Family Minshuku Noa Hotel",Family Minshuku Noa Hotel,,,,,,
215,406785,"北汤泽汤元名水亭
Kitayuzawa Yumoto Meisui Tei",Kitayuzawa Yumoto Meisui Tei,,,,,,
216,4545931,"东京塔马那嘎亚马微笑酒店
Smile Hotel Tokyo Tamanagayama",Smile Hotel Tokyo Tamanagayama,4.0,4.1,4.0,4.2,4.1,5368.0
217,406850,"自由之丘酒店
Hotel Pulitzer Jiyugaoka",Hotel Pulitzer Jiyugaoka,,,,,,
218,406878,"岩泷庄
Iwataki So",Iwataki So,,,,,,
219,406883,"御宿Chikara庄
Oyado Chikara Sou",Oyado Chikara Sou,,,,,,8640.0
220,6535584,"新Itaya酒店
Hotel New Itaya",Hotel New Itaya,5.0,4.5,4.0,4.5,4.5,9994.0
222,407038,"郡上八幡交流道商务酒店
Business Hotel Gujohachiman Inter",Business Hotel Gujohachiman Inter,,,,,,10300.0
223,6255793,"佐世保广场酒店
Leo Plaza Hotel",Leo Plaza Hotel,,,,,,6719.0
224,407577,"定山溪卡希欧格尤恩御苑酒店
Jozankei Kashougyoen Kitcyou Hotel",Jozankei Kashougyoen Kitcyou Hotel,,,,,,
225,416270,"新横滨温泉公寓富士大酒店
Fuji View Hotel Shin-Yokohama Spa & Residence 

又名：新横滨温泉公寓富士大酒店(Fuji View Hotel Shin-Yokohama Spa & Residence)",Fuji View Hotel Shin-Yokohama Spa & Residence ,,,,,,9999.0
226,416568,"龙名馆旅馆
Ryokan Ryumeikan-Honten",Ryokan Ryumeikan-Honten,,,,,,16882.0
227,416632,"万福庵永昌寺旅馆
Manpukuan Eisyouji Ryokan",Manpukuan Eisyouji Ryokan,,,,,,
228,8010189,"旅宿临海旅馆
Tabino Oyado Rinkai",Tabino Oyado Rinkai,4.0,5.0,5.0,5.0,4.8,8640.0
229,416816,"哲学之社行人舍
Stone Spa – Tetsugakunomori Koujinsha",Stone Spa – Tetsugakunomori Koujinsha,,,,,,
230,6495388,"八三馆日式旅馆
Yatsusankan",Yatsusankan,4.8,4.8,4.8,4.8,4.8,16900.0
231,420177,"Ibis Styles Hotel Sapporo
Ibis Styles Hotel Sapporo",Ibis Styles Hotel Sapporo,,,,,,7600.0
232,439637,"东京银座首都酒店本馆
Ginza Capital Hotel Tokyo",Ginza Capital Hotel Tokyo,4.6,4.5,4.3,4.6,4.5,8171.0
233,6995649,"布兰科布鲁纳格米酒店
Blanc Bleu Nagomi",Blanc Bleu Nagomi,,,,,,17280.0
234,441977,"京都五条旅舍
Gojo Guest House Annex",Gojo Guest House Annex,5.0,5.0,5.0,5.0,5.0,24000.0
235,442583,"水上酒店
Hotel Mizukami",Hotel Mizukami,,,,,,15500.0
236,446699,"祗园樱花酒店
Sakara Gion",Sakara Gion,,,,,,21150.0
237,448587,"客宇玛琪雅诺亚多贝特依巴特苏古雅求酒店
Kyo Machiya No Yado Bettei Butsuguyacho",Kyo Machiya No Yado Bettei Butsuguyacho,5.0,4.0,4.0,5.0,4.5,13135.0
238,450082,"南坝波阿波罗6人家庭公寓
Apollo 6 Person Family Apartment at Namba",Apollo 6 Person Family Apartment at Namba,,,,,,
239,450086,"纳卡亚玛酒店
Nakayamagwa",Nakayamagwa,4.1,4.3,4.1,4.2,4.2,5892.0
240,452435,"天井礁宾馆
Patio House Reef",Patio House Reef,3.8,4.0,3.7,3.9,3.9,
241,453798,"热可藤尼亚酒店
Minshuku Rakutenya",Minshuku Rakutenya,,,,,,
