RID,Ctrip_HotelID,HotelName,EnglishHotelName,HotelScore,LocationScore,tripadvisor_hotel_id,ServicesScore,FacilitiesScore,HealthScore,HotelPrice,hotel_name,hotel_url,hotel_rating,city_id,postal_code,prefecture,locality,street,ext_address,address,price_lower,price_upper,rooms
493,686270,"东京黎凡特东武酒店
Tobu Hotel Levant Tokyo",Tobu Hotel Levant Tokyo,4.8,4.8,52,4.7,4.8,4.8,13942.0,Tobu Hotel Levant Tokyo,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,130-0013,東京都,墨田区,錦糸1-2-2,,〒130-0013 東京都墨田区錦糸1-2-2,11549,40422,383
496,686276,"半蔵门格兰亚克酒店
Hotel Grand Arc Hanzomon",Hotel Grand Arc Hanzomon,4.7,4.6,381,4.4,4.5,4.5,11466.0,Hotel Grand Arc Hanzomon,https://www.tripadvisor.com/Hotel_Review-g1066443-d304288-Reviews-Hotel_Grand_Arc_Hanzomon-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,1,102-0092,東京都,千代田区,隼町1-1,,〒102-0092 東京都千代田区隼町1-1,10994,20988,204
498,686284,"角屋酒店
Kadoya Hotel",Kadoya Hotel,4.6,4.1,82,3.9,4.1,4.2,8846.0,Kadoya Hotel,https://www.tripadvisor.com/Hotel_Review-g1066457-d574958-Reviews-Kadoya_Hotel-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,160-0023,東京都,新宿区,西新宿1-23-1,,〒160-0023 東京都新宿区西新宿1-23-1,10994,20322,94
507,686306,"东京大酒店
Tokyo Grand Hotel",Tokyo Grand Hotel,4.4,4.5,311,4.4,4.6,4.5,7681.0,Tokyo Grand Hotel,https://www.tripadvisor.com/Hotel_Review-g1066451-d1082883-Reviews-Tokyo_Grand_Hotel-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,105-0014,東京都,港区,芝2-5-2,,〒105-0014 東京都港区芝2-5-2,9217,16991,156
509,686310,"涩谷东武酒店
Shibuya Tobu Hotel",Shibuya Tobu Hotel,4.5,4.3,35,4.0,4.3,4.3,10703.0,Shibuya Tobu Hotel,https://www.tripadvisor.com/Hotel_Review-g1066456-d506006-Reviews-Shibuya_Tobu_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,150-0042,東京都,渋谷区,宇田川町3-1,,〒150-0042 東京都渋谷区宇田川町3-1,12438,27207,205
512,686313,"东京绿宫大饭店
Tokyo Green Palace",Tokyo Green Palace,4.3,4.4,268,4.5,4.7,4.5,6753.0,Tokyo Green Palace,https://www.tripadvisor.com/Hotel_Review-g1066443-d658580-Reviews-Tokyo_Green_Palace-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,102-0084,東京都,千代田区,二番町2,,〒102-0084 東京都千代田区二番町2,8662,16546,238
513,686314,"八重洲明珠大酒店
Pearl Hotel Yaesu",Pearl Hotel Yaesu,4.6,4.2,512,4.1,4.4,4.3,11125.0,Pearl Hotel Yaesu,https://www.tripadvisor.com/Hotel_Review-g1066444-d1089708-Reviews-Pearl_Hotel_Yaesu-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,103-0028,東京都,中央区八重洲,1-2-6,,〒103-0028 東京都中央区八重洲1-2-6,10661,23320,150
514,686316,"东京站大饭店
The Tokyo Station Hotel",The Tokyo Station Hotel,4.7,4.7,18,4.6,4.8,4.7,38831.0,The Tokyo Station Hotel,https://www.tripadvisor.com/Hotel_Review-g1066443-d310308-Reviews-The_Tokyo_Station_Hotel-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,1,100-0005,東京都,千代田区,丸の内1-9-1,,〒100-0005 東京都千代田区丸の内1-9-1,38645,158579,150
541,686353,"堺东大和ROYNET酒店
Daiwa Roynet Hotel Sakai Higashi",Daiwa Roynet Hotel Sakai Higashi,4.4,4.7,16048,4.5,4.7,4.6,9707.0,Daiwa Roynet Hotel Sakai Higashi,https://www.tripadvisor.com/Hotel_Review-g654326-d2103931-Reviews-Daiwa_Roynet_Hotel_Sakai_Higashi-Sakai_Osaka_Prefecture_Kinki.html,4.0,381,590-0079,大阪府,堺市,堺区新町5-13,,〒590-0079 大阪府堺市堺区新町5-13,7596,14298,230
544,686358,"梅田地标酒店
Hotel Landmark Umeda",Hotel Landmark Umeda,4.7,4.1,1280,3.8,4.4,4.2,7000.0,Hotel Landmark Umeda,https://www.tripadvisor.com/Hotel_Review-g298566-d557780-Reviews-Hotel_Landmark_Umeda-Osaka_Osaka_Prefecture_Kinki.html,3.5,3,530-0012,大阪府,大阪市,北区芝田2-3-22,,〒530-0012 大阪府大阪市北区芝田2-3-22,7107,12882,140
546,686361,"大阪厄尔瑟雷酒店
Hotel Elsereine Osaka",Hotel Elsereine Osaka,4.6,4.5,1286,4.5,4.7,4.6,18858.0,Hotel Elsereine Osaka,https://www.tripadvisor.com/Hotel_Review-g298566-d1831070-Reviews-Hotel_Elsereine_Osaka-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,530-0003,大阪府,大阪市北区,堂島1-5-25,,〒530-0003 大阪府大阪市北区堂島1-5-25,9883,30872,137
549,686427,"柏克酒店
Hotel Daiki",Hotel Daiki,4.1,3.8,1436,3.4,4.0,3.8,10467.0,Hotel Daiki,https://www.tripadvisor.com/Hotel_Review-g298566-d1081593-Reviews-Hotel_Daiki-Osaka_Osaka_Prefecture_Kinki.html,3.5,3,530-0041,大阪府,大阪市,北区天神橋4-9-5,,〒530-0041 大阪府大阪市北区天神橋4-9-5,4430,17386,14
557,686460,"仓本酒店
Hotel Kuramoto",Hotel Kuramoto,4.6,4.3,1330,3.9,3.9,4.2,17500.0,Hotel Kuramoto,https://www.tripadvisor.com/Hotel_Review-g298566-d584632-Reviews-Hotel_Kuramoto-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,542-0082,大阪府,大阪市,中央区島之内2-11-7,,〒542-0082 大阪府大阪市中央区島之内2-11-7,8306,26578,24
567,686485,"难波利夫马克斯酒店
Hotel Livemax Namba",Hotel Livemax Namba,4.0,4.1,1447,4.1,3.7,4.0,9015.0,Hotel Livemax Namba,https://www.tripadvisor.com/Hotel_Review-g298566-d1093109-Reviews-Hotel_Livemax_Namba-Osaka_Osaka_Prefecture_Kinki.html,3.5,3,556-0023,大阪府,大阪市浪速区,浪速区 稲荷2-1-3,,〒556-0023 大阪府大阪市浪速区浪速区 稲荷2-1-3,5997,19878,51
568,686488,"大阪心斋桥狮子石酒店
Hotel Shinsaibashi Lions Rock",Hotel Shinsaibashi Lions Rock,4.4,4.1,1462,3.6,4.0,4.0,8653.0,Hotel Shinsaibashi Lions Rock,https://www.tripadvisor.com/Hotel_Review-g298566-d1084437-Reviews-Hotel_Shinsaibashi_Lions_Rock-Osaka_Osaka_Prefecture_Kinki.html,3.0,3,542-0086,大阪府,大阪市中央区,西心斎橋2-18-10,,〒542-0086 大阪府大阪市中央区西心斎橋2-18-10,5205,14839,75
585,686522,"东京悦榕庄酒店
Tokyo Banyan Hotel",Tokyo Banyan Hotel,3.9,3.8,568,3.8,3.9,3.8,7980.0,Tokyo Banyan Hotel,https://www.tripadvisor.com/Hotel_Review-g1066854-d1092154-Reviews-Tokyo_Banyan_Hotel-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html,3.0,1,140-0014,東京都,品川区,大井1-44-3,,〒140-0014 東京都品川区大井1-44-3,6996,18989,39
587,686525,"府中市利夫马克斯公寓式酒店
Hotel Livemax Fuchu",Hotel Livemax Fuchu,3.4,3.4,18092,3.4,3.4,3.4,5301.0,Hotel Livemax Fuchu,https://www.tripadvisor.com/Hotel_Review-g1060903-d1863822-Reviews-Hotel_Livemax_Fuchu-Fuchu_Tokyo_Prefecture_Kanto.html,3.0,543,183-0022,東京都,府中市,宮西町3-8-5,,〒183-0022 東京都府中市宮西町3-8-5,4580,24799,44
589,686528,"东京雅蓓丝塔目黑酒店
Hotel Abest Meguro",Hotel Abest Meguro,4.5,4.0,567,3.6,3.7,4.0,10129.0,Hotel Abest Meguro,https://www.tripadvisor.com/Hotel_Review-g1066854-d1036688-Reviews-Hotel_Abest_Meguro-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,141-0021,東京都,品川区,上大崎2-26-5,（旧ホテルワトソン）,〒141-0021 東京都品川区上大崎2-26-5（旧ホテルワトソン）,9550,27429,86
591,686530,"东京田町相铁Fresa-Inn酒店
Sotetsu Fresa Inn Tokyo Tamachi",Sotetsu Fresa Inn Tokyo Tamachi,4.6,4.2,251,4.1,4.5,4.4,10015.0,Sotetsu Fresa Inn Tokyo Tamachi,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115507-Reviews-Sotetsu_Fresa_Inn_Tokyo_Tamachi-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,108-0023,東京都,港区,芝浦3-14-21,,〒108-0023 東京都港区芝浦3-14-21,6996,15325,123
593,686532,"里士满浅草酒店
Richmond Hotel Asakusa",Richmond Hotel Asakusa,4.8,4.9,138,4.8,4.9,4.8,18251.0,Richmond Hotel Asakusa,https://www.tripadvisor.com/Hotel_Review-g1066461-d2526943-Reviews-Richmond_Hotel_Asakusa-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,1,111-0032,東京都,台東区,浅草2-7-10,,〒111-0032 東京都台東区浅草2-7-10,8995,21877,140
594,686533,"瑞江第一酒店
Mizue Dai-Ichi Hotel",Mizue Dai-Ichi Hotel,4.5,4.1,371,4.0,4.2,4.2,6280.0,Mizue Dai-Ichi Hotel,https://www.tripadvisor.com/Hotel_Review-g1066445-d557599-Reviews-Mizue_Dai_Ichi_Hotel-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,132-0011,東京都,江戸川区,瑞江2-6-16,,〒132-0011 東京都江戸川区瑞江2-6-16,6774,9994,178
602,686543,"日本亚洲会馆酒店
Hotel Asia Center of Japan",Hotel Asia Center of Japan,4.7,4.7,95,4.3,4.8,4.6,6934.0,Hotel Asia Center of Japan,https://www.tripadvisor.com/Hotel_Review-g1066451-d304284-Reviews-Hotel_Asia_Center_of_Japan-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,107-0052,東京都,港区,赤坂8-10-32,,〒107-0052 東京都港区赤坂8-10-32,8662,17102,175
607,686553,"开赛卢米埃尔酒店
Hotel Lumiere Kasai",Hotel Lumiere Kasai,4.7,4.5,167,4.3,4.4,4.5,10897.0,Hotel Lumiere Kasai,https://www.tripadvisor.com/Hotel_Review-g1066445-d1105300-Reviews-Hotel_Lumiere_Kasai-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,134-0083,東京都,江戸川区,中葛西5-41-20,,〒134-0083 東京都江戸川区中葛西5-41-20,6108,23765,152
608,686555,"卢米埃尔西葛西酒店
Hotel Lumiere Nishikasai",Hotel Lumiere Nishikasai,4.3,4.4,88,4.3,4.4,4.3,8991.0,Hotel Lumiere Nishikasai,https://www.tripadvisor.com/Hotel_Review-g1066445-d1115239-Reviews-Hotel_Lumiere_Nishikasai-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,134-0088,東京都,江戸川区,西葛西6-20-3,,〒134-0088 東京都江戸川区西葛西6-20-3,5441,21210,192
609,686556,"东京木场酒店
Tokyo Kiba Hotel",Tokyo Kiba Hotel,4.2,4.2,110,3.8,4.2,4.1,4092.0,Tokyo Kiba Hotel,https://www.tripadvisor.com/Hotel_Review-g1066449-d1082951-Reviews-Tokyo_Kiba_Hotel-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,135-0042,東京都,江東区,木場1-4-3,,〒135-0042 東京都江東区木場1-4-3,4997,22654,189
612,686559,"弗莱论坛酒店
Refre Forum",Refre Forum,3.8,3.8,623,3.7,3.8,3.8,12744.0,Refre Forum,https://www.tripadvisor.com/Hotel_Review-g1066449-d1105472-Reviews-Refre_Forum-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,136-0072,東京都,江東区,大島7-37-11,,〒136-0072 東京都江東区大島7-37-11,6774,13437,62
620,686576,"关西珍珠酒店
Pearl Hotel Kasai",Pearl Hotel Kasai,4.5,4.2,534,4.0,4.3,4.2,8025.0,Pearl Hotel Kasai,https://www.tripadvisor.com/Hotel_Review-g1066445-d559388-Reviews-Pearl_Hotel_Kasai-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,134-0084,東京都,江戸川区,東葛西6-1-7,,〒134-0084 東京都江戸川区東葛西6-1-7,5664,16102,109
635,686615,"锡耶纳酒店
Hotel Siena",Hotel Siena,4.3,4.2,598,4.0,4.2,4.2,29087.0,Hotel Siena,https://www.tripadvisor.com/Hotel_Review-g1066457-d1095022-Reviews-Hotel_Siena-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,160-0021,東京都,新宿区歌舞伎町,歌舞伎町2-22-1,,〒160-0021 東京都新宿区歌舞伎町歌舞伎町2-22-1,9217,12882,83
637,686624,"大冢城市酒店
Otsuka City Hotel",Otsuka City Hotel,4.6,3.8,362,3.6,4.1,4.0,6213.0,Otsuka City Hotel,https://www.tripadvisor.com/Hotel_Review-g1066460-d1085821-Reviews-Otsuka_City_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,170-0005,東京都,豊島区,南大塚2丁目44-5,,〒170-0005 東京都豊島区南大塚2丁目44-5,6219,10883,35
645,686689,"四谷东急酒店
Tokyu Stay Yotsuya",Tokyu Stay Yotsuya,4.9,4.5,418,4.5,4.6,4.6,10325.0,Tokyu Stay Yotsuya,https://www.tripadvisor.com/Hotel_Review-g1066457-d1036676-Reviews-Tokyu_Stay_Yotsuya-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,160-0004,東京都,新宿区,四谷2-1,,〒160-0004 東京都新宿区四谷2-1,11882,24875,148
647,686692,"蓼科酒店
Hotel Tateshina",Hotel Tateshina,4.4,4.2,129,3.9,4.2,4.2,11715.0,Hotel Tateshina,https://www.tripadvisor.com/Hotel_Review-g1066457-d729852-Reviews-Hotel_Tateshina-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,160-0022,東京都,新宿区,新宿5-8-6,,〒160-0022 東京都新宿区新宿5-8-6,7773,15991,67
652,686701,"幡谷樱花酒店
Sakura Hotel Hatagaya",Sakura Hotel Hatagaya,4.2,3.8,223,3.5,4.1,3.9,9405.0,Sakura Hotel Hatagaya,https://www.tripadvisor.com/Hotel_Review-g1066456-d1083444-Reviews-Sakura_Hotel_Hatagaya-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,151-0072,東京都,渋谷区,幡ケ谷1-32-3,,〒151-0072 東京都渋谷区幡ケ谷1-32-3,6219,19878,74
657,686804,"利马克斯尼泊瑞酒店
Hotel Livemax Nippori",Hotel Livemax Nippori,3.9,3.3,571,3.3,3.5,3.5,6996.0,Hotel Livemax Nippori,https://www.tripadvisor.com/Hotel_Review-g1066461-d2312136-Reviews-Hotel_Livemax_Nippori-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,110-0001,東京都,台東区,谷中3-2-12,,〒110-0001 東京都台東区谷中3-2-12,6219,16213,45
663,687190,"池袋星广场酒店
Hotel Star Plaza Ikebukuro",Hotel Star Plaza Ikebukuro,4.1,4.1,533,3.7,4.1,4.0,7973.0,Hotel Star Plaza Ikebukuro,https://www.tripadvisor.com/Hotel_Review-g1066460-d1085796-Reviews-Hotel_Star_Plaza_Ikebukuro-Toshima_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,171-0014,東京都,豊島区,池袋2-10-2,,〒171-0014 東京都豊島区池袋2-10-2,6996,11216,79
664,687240,"新宿西铁酒店
Nishitetsu Inn Shinjuku",Nishitetsu Inn Shinjuku,4.7,4.7,113,4.5,4.7,4.6,11632.0,Nishitetsu Inn Shinjuku,https://www.tripadvisor.com/Hotel_Review-g1066457-d1090409-Reviews-Nishitetsu_Inn_Shinjuku-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,160-0023,東京都,新宿区西新宿,7-23-2,,〒160-0023 東京都新宿区西新宿7-23-2,11660,22321,302
665,687269,"涩谷东急住宿酒店
Tokyu Stay Shibuya",Tokyu Stay Shibuya,4.7,4.7,273,4.4,4.6,4.6,14383.0,Tokyu Stay Shibuya,https://www.tripadvisor.com/Hotel_Review-g1066456-d1115744-Reviews-Tokyu_Stay_Shibuya-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,150-0045,東京都,渋谷区,神泉町8-14,,〒150-0045 東京都渋谷区神泉町8-14,12660,24986,125
666,687316,"亚那基巴适酒店
Hotel Yanagibashi",Hotel Yanagibashi,4.5,4.4,236,3.7,4.5,4.3,6466.0,Hotel Yanagibashi,https://www.tripadvisor.com/Hotel_Review-g1066461-d1085871-Reviews-Hotel_Yanagibashi-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,111-0052,東京都,台東区浅草橋,柳橋1-3-12,,〒111-0052 東京都台東区浅草橋柳橋1-3-12,6885,10994,28
672,687346,"后乐园永安国际酒店
Hotel Wing International Korakuen",Hotel Wing International Korakuen,4.6,4.6,86,4.1,4.5,4.5,8742.0,Hotel Wing International Korakuen,https://www.tripadvisor.com/Hotel_Review-g1066442-d1082375-Reviews-Hotel_Wing_International_Korakuen-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,113-0033,東京都,文京区,本郷1-25-11,,〒113-0033 東京都文京区本郷1-25-11,6441,18101,116
675,687357,"上野不忍可可大酒店
Hotel Coco Grand Ueno Shinobazu",Hotel Coco Grand Ueno Shinobazu,4.7,4.8,203,4.6,4.8,4.7,29849.0,Hotel Coco Grand Ueno Shinobazu,https://www.tripadvisor.com/Hotel_Review-g1066461-d1866161-Reviews-Hotel_Coco_Grand_Ueno_Shinobazu-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,1,110-0005,東京都,台東区上野,上野2-12-14,,〒110-0005 東京都台東区上野上野2-12-14,13104,26208,58
677,687363,"后乐园利夫马克斯酒店
Hotel Livemax Korakuen",Hotel Livemax Korakuen,3.8,3.6,631,3.3,3.7,3.6,3001.0,Hotel Livemax Korakuen,https://www.tripadvisor.com/Hotel_Review-g1066442-d1114492-Reviews-Hotel_Livemax_Korakuen-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto.html,3.0,1,112-0002,東京都,文京区,小石川3-1-2,,〒112-0002 東京都文京区小石川3-1-2,5664,21099,27
678,687397,"急住酒店
Tokyu Stay Aoyama Premier",Tokyu Stay Aoyama Premier,4.6,4.6,166,4.4,4.7,4.6,13597.0,Tokyu Stay Aoyama Premier,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,107-0062,東京都,港区南青山,南青山2-27-18,,〒107-0062 東京都港区南青山南青山2-27-18,12438,21544,170
682,688060,"贝尔蒙酒店
Belmont Hotel",Belmont Hotel,4.3,4.4,318,3.9,4.2,4.2,6280.0,Belmont Hotel,https://www.tripadvisor.com/Hotel_Review-g1066461-d634729-Reviews-Belmont_Hotel-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,111-0052,東京都,台東区,柳橋1-2-8,,〒111-0052 東京都台東区柳橋1-2-8,6885,17768,82
688,688075,"橡树酒店
Stayto",Stayto,4.6,4.7,228,3.8,4.5,4.4,7405.0,Stayto,https://www.tripadvisor.com/Hotel_Review-g1066461-d632118-Reviews-Stayto-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,110-0015,東京都,台東区,東上野6-1-2,,〒110-0015 東京都台東区東上野6-1-2,4886,12326,71
699,688108,"相铁夫里萨新桥西必亚酒店
Sotetsu Fresa Inn Shimbashi Hibiyaguchi",Sotetsu Fresa Inn Shimbashi Hibiyaguchi,4.7,4.2,157,3.9,4.3,4.3,10814.0,Sotetsu Fresa Inn Shimbashi Hibiyaguchi,https://www.tripadvisor.com/Hotel_Review-g1066451-d3264476-Reviews-Sotetsu_Fresa_Inn_Shimbashi_Hibiyaguchi-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,105-0004,東京都,港区新橋,新橋1-14-3,,〒105-0004 東京都港区新橋新橋1-14-3,9661,20655,147
702,688114,"格兰贝尔酒店
Akasaka Granbell Hotel",Akasaka Granbell Hotel,4.5,4.3,301,4.0,4.4,4.3,11970.0,Akasaka Granbell Hotel,https://www.tripadvisor.com/Hotel_Review-g1066451-d1036724-Reviews-Akasaka_Granbell_Hotel-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,107-0052,東京都,港区赤坂,赤坂3丁目10-9,,〒107-0052 東京都港区赤坂赤坂3丁目10-9,11105,29206,61
708,688127,"涩谷娴雅酒店
Hotel Suave Shibuya",Hotel Suave Shibuya,4.5,4.3,349,3.1,4.6,4.1,13064.0,Hotel Suave Shibuya,https://www.tripadvisor.com/Hotel_Review-g1066450-d1082864-Reviews-Hotel_Suave_Shibuya-Meguro_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,153-0044,東京都,目黒区,大橋2-24-4,,〒153-0044 東京都目黒区大橋2-24-4,9883,18545,133
712,688132,"东京目黑佑天寺酒店
Tokyu Stay Meguro Yutenji",Tokyu Stay Meguro Yutenji,4.2,3.7,345,3.8,3.7,3.9,12446.0,Tokyu Stay Meguro Yutenji,https://www.tripadvisor.com/Hotel_Review-g1066450-d1115462-Reviews-Tokyu_Stay_Meguro_Yutenji-Meguro_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,153-0052,東京都,目黒区,祐天寺2-15-7,,〒153-0052 東京都目黒区祐天寺2-15-7,10550,20766,69
718,688140,"樱花芙蓉青山酒店
Sakura Fleur Aoyama",Sakura Fleur Aoyama,4.6,4.4,198,4.0,4.4,4.4,11936.0,Sakura Fleur Aoyama,https://www.tripadvisor.com/Hotel_Review-g1066456-d620666-Reviews-Sakura_Fleur_Aoyama-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,150-0002,東京都,渋谷区,渋谷2-14-15,,〒150-0002 東京都渋谷区渋谷2-14-15,10328,17768,133
720,688144,"克拉斯卡
Claska",Claska,4.0,4.6,255,4.5,4.3,4.4,27942.0,Claska,https://www.tripadvisor.com/Hotel_Review-g1066450-d566638-Reviews-Claska-Meguro_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,1,152-0001,東京都,目黒区,中央町1-3-18,,〒152-0001 東京都目黒区中央町1-3-18,22765,95725,20
