RID,Ctrip_HotelID,HotelName,EnglishHotelName,HotelScore,HotelPrice,tripadvisor_hotel_id,hotel_name,hotel_url,hotel_rating,city_id,postal_code,prefecture,locality,street,ext_address,address,price_lower,price_upper,rooms
1200,686624,Otsuka City Hotel(大冢城市酒店),Otsuka City Hotel,4.0,6213.0,362,Otsuka City Hotel,https://www.tripadvisor.com/Hotel_Review-g1066460-d1085821-Reviews-Otsuka_City_Hotel-Toshima_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,170-0005,東京都,豊島区,南大塚2丁目44-5,,〒170-0005 東京都豊島区南大塚2丁目44-5,6219,10883,35
1216,686701,Sakura Hotel Hatagaya(幡谷樱花酒店),Sakura Hotel Hatagaya,4.0,9405.0,223,Sakura Hotel Hatagaya,https://www.tripadvisor.com/Hotel_Review-g1066456-d1083444-Reviews-Sakura_Hotel_Hatagaya-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,151-0072,東京都,渋谷区,幡ケ谷1-32-3,,〒151-0072 東京都渋谷区幡ケ谷1-32-3,6219,19878,74
1229,687269,Tokyu Stay Shibuya(东急Stay酒店-涩谷),Tokyu Stay Shibuya,4.5,14383.0,273,Tokyu Stay Shibuya,https://www.tripadvisor.com/Hotel_Review-g1066456-d1115744-Reviews-Tokyu_Stay_Shibuya-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,150-0045,東京都,渋谷区,神泉町8-14,,〒150-0045 東京都渋谷区神泉町8-14,12660,24986,125
1232,687327,Ueno First City Hotel(上野第一城市酒店),Ueno First City Hotel,4.2,7574.0,448,Ueno First City Hotel,https://www.tripadvisor.com/Hotel_Review-g1066461-d1085940-Reviews-Ueno_First_City_Hotel-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,110-0005,東京都,台東区,上野1-14-8,,〒110-0005 東京都台東区上野1-14-8,6663,15325,78
1242,687397,Tokyu Stay Aoyama Premier(东急住青山总理酒店),Tokyu Stay Aoyama Premier,4.7,13597.0,166,Tokyu Stay Aoyama Premier,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,107-0062,東京都,港区南青山,南青山2-27-18,,〒107-0062 東京都港区南青山南青山2-27-18,12438,21544,170
1265,688079,Kinuya Hotel(Kinuya酒店),Kinuya Hotel,4.3,8788.0,492,Kinuya Hotel,https://www.tripadvisor.com/Hotel_Review-g1066461-d1085897-Reviews-Kinuya_Hotel-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,110-0005,東京都,台東区,上野2-14-28,,〒110-0005 東京都台東区上野2-14-28,7107,15436,65
1269,688085,Sotetsu Fresa Inn Hamamatsucho Daimon(相铁FRESA INN-滨松町大门),Sotetsu Fresa Inn Hamamatsucho Daimon,4.2,6832.0,212,Sotetsu Fresa Inn Hamamatsucho Daimon,https://www.tripadvisor.com/Hotel_Review-g1066451-d2269018-Reviews-Sotetsu_Fresa_Inn_Hamamatsucho_Daimon-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,105-0012,東京都,港区,芝大門1-2-7,,〒105-0012 東京都港区芝大門1-2-7,6774,25319,190
1278,688116,Hotel Arca Torre Roppongi(六本木Arca Torre酒店),Hotel Arca Torre Roppongi,4.1,13224.0,202,Hotel Arca Torre Roppongi,https://www.tripadvisor.com/Hotel_Review-g1066451-d613768-Reviews-Hotel_Arca_Torre_Roppongi-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,106-0032,東京都,港区,六本木6-1-23,,〒106-0032 東京都港区六本木6-1-23,10550,13992,76
1287,688129,Hotel Mid In Meguro-Ekimae(目黑站前Mid In酒店),Hotel Mid In Meguro-Ekimae,4.0,13589.0,104,Hotel Mid In Meguro-Ekimae,https://www.tripadvisor.com/Hotel_Review-g1066450-d1105482-Reviews-Hotel_Mid_In_Meguro_Ekimae-Meguro_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,153-0064,東京都,目黒区,下目黒1-2-19,,〒153-0064 東京都目黒区下目黒1-2-19,11993,22543,65
1298,688144,Claska(克拉斯加酒店),Claska,4.2,27942.0,255,Claska,https://www.tripadvisor.com/Hotel_Review-g1066450-d566638-Reviews-Claska-Meguro_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,1,152-0001,東京都,目黒区,中央町1-3-18,,〒152-0001 東京都目黒区中央町1-3-18,22765,95725,20
1299,688145,Daiwa Roynet Hotel Tokyo-Osaki(东京大崎大和ROYNET酒店),Daiwa Roynet Hotel Tokyo-Osaki,4.6,12712.0,67,Daiwa Roynet Hotel Tokyo-Osaki,https://www.tripadvisor.com/Hotel_Review-g1066854-d1095101-Reviews-Daiwa_Roynet_Hotel_Tokyo_Osaki-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,141-0032,東京都,品川区,大崎2-1-3,,〒141-0032 東京都品川区大崎2-1-3,12104,19989,194
1301,688147,Hotel Route Inn Shinagawa Oimachi(Route Inn酒店-品川大井町),Hotel Route Inn Shinagawa Oimachi,3.6,8900.0,441,Hotel Route Inn Shinagawa Oimachi,https://www.tripadvisor.com/Hotel_Review-g1066854-d1083463-Reviews-Hotel_Route_Inn_Shinagawa_Oimachi-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,140-0014,東京都,品川区,大井1-35-2,,〒140-0014 東京都品川区大井1-35-2,6663,15214,156
1310,688156,Hotel Sunline Kamata(新理益蒲田酒店),Hotel Sunline Kamata,3.8,6550.0,720,Hotel Sunline Kamata,https://www.tripadvisor.com/Hotel_Review-g1066454-d1083069-Reviews-Hotel_Sunline_Kamata-Ota_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,144-0051,東京都,大田区,西蒲田7-25-5,,〒144-0051 東京都大田区西蒲田7-25-5,Sunline,Hotel,54
1313,688159,Tokyu Stay Kamata(东急Stay酒店-蒲田),Tokyu Stay Kamata,4.6,9558.0,172,Tokyu Stay Kamata,https://www.tripadvisor.com/Hotel_Review-g1066454-d2177373-Reviews-Tokyu_Stay_Kamata-Ota_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,144-0052,東京都,大田区,蒲田4-23-1,,〒144-0052 東京都大田区蒲田4-23-1,9550,17213,141
1327,688174,Tokyu Stay Nihombashi(东京日本桥酒店),Tokyu Stay Nihombashi,4.3,8930.0,218,Tokyu Stay Nihombashi,https://www.tripadvisor.com/Hotel_Review-g1066444-d1114758-Reviews-Tokyu_Stay_Nihombashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,103-0023,東京都,中央区,日本橋本町4-7-9,,〒103-0023 東京都中央区日本橋本町4-7-9,8662,14992,123
1331,688178,Tokyu Stay Suidobashi(水道桥托克宇寄宿酒店),Tokyu Stay Suidobashi,4.3,9304.0,364,Tokyu Stay Suidobashi,https://www.tripadvisor.com/Hotel_Review-g1066443-d1114754-Reviews-Tokyu_Stay_Suidobashi-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,101-0061,東京都,千代田区,三崎町1-1-12,,〒101-0061 東京都千代田区三崎町1-1-12,10772,19100,156
1336,688184,Sakura Hotel Jimbocho(神保町樱花酒店),Sakura Hotel Jimbocho,3.9,8911.0,144,Sakura Hotel Jimbocho,https://www.tripadvisor.com/Hotel_Review-g1066443-d304296-Reviews-Sakura_Hotel_Jimbocho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,101-0051,東京都,千代田区,神田神保町2-21-4,,〒101-0051 東京都千代田区神田神保町2-21-4,2998,11327,43
1344,688194,Hotel Agora Regency Sakai（大阪堺丽都大酒店）,Hotel Agora Regency Sakai,4.2,11181.0,16050,Hotel Agora Regency Sakai,https://www.tripadvisor.com/Hotel_Review-g654326-d307690-Reviews-Hotel_Agora_Regency_Sakai-Sakai_Osaka_Prefecture_Kinki.html,4.0,381,590-0985,大阪府,堺市,戎島町4-45-1,,〒590-0985 大阪府堺市堺区戎島町4-45-1,11953,35299,241
1347,688197,Hotel Monterey Osaka(大阪蒙特利酒店),Hotel Monterey Osaka,4.5,8654.0,1261,Hotel Monterey Osaka,https://www.tripadvisor.com/Hotel_Review-g298566-d504992-Reviews-Hotel_Monterey_Osaka-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,530-0001,大阪府,大阪市,北区梅田3-3-45,,〒530-0001 大阪府大阪市北区梅田3-3-45,8107,27318,194
1351,688202,Mitsui Garden Hotel Osaka Yodoyabashi(三井花园酒店大阪淀屋桥),Mitsui Garden Hotel Osaka Yodoyabashi,4.4,7354.0,1272,Mitsui Garden Hotel Osaka Yodoyabashi,https://www.tripadvisor.com/Hotel_Review-g298566-d479810-Reviews-Mitsui_Garden_Hotel_Osaka_Yodoyabashi-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,541-0043,大阪府,大阪市中央区,高麗橋 2-5-7,,〒541-0043 大阪府大阪市中央区高麗橋 2-5-7,6663,20100,306
1355,688207,Nishitetsu Inn Shinsaibashi(心斋桥西铁宾馆),Nishitetsu Inn Shinsaibashi,4.6,10497.0,1314,Nishitetsu Inn Shinsaibashi,https://www.tripadvisor.com/Hotel_Review-g298566-d1073377-Reviews-Nishitetsu_Inn_Shinsaibashi-Osaka_Osaka_Prefecture_Kinki.html,3.5,3,542-0086,大阪府,大阪市,中央区西心斎橋1-15-12,,〒542-0086 大阪府大阪市中央区西心斎橋1-15-12,6663,14881,162
1356,688208,New Osaka Hotel(新大阪酒店),New Osaka Hotel,4.2,17750.0,1437,New Osaka Hotel,https://www.tripadvisor.com/Hotel_Review-g298566-d479807-Reviews-New_Osaka_Hotel-Osaka_Osaka_Prefecture_Kinki.html,3.0,3,532-0011,大阪府,大阪市淀川区,西中島5-14-10,,〒532-0011 大阪府大阪市淀川区西中島5-14-10,7641,18051,299
