keyword,translated_keyword,0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
一般 景观,General landscape,2,0,0,0,0,0,0,0,0,0
一般 服务,General service,115,0,0,2,4,7,34,22,39,7
一般 条件,General condition,18,0,0,0,0,3,5,3,5,0
一般 水平,The general level,5,0,0,0,0,0,3,0,0,0
一般 水质,General water quality,2,0,0,0,0,0,0,2,0,0
一般 沙滩,Average beach,7,0,0,0,0,0,0,2,5,0
一般 温泉,General hot spring,10,0,0,0,0,0,0,3,7,0
一般 状况,General condition,3,0,0,0,0,0,0,0,2,0
一般 环境,General environment,40,0,0,0,3,8,12,7,8,0
一般 用品,General supplies,5,0,0,0,0,0,3,0,2,0
一般 硬件,General hardware,5,0,0,0,0,0,0,0,2,0
一般 种类,General type,4,0,0,0,0,2,0,0,0,0
一般 程度,Average,5,0,0,0,0,0,2,0,3,0
一般 空气,General air,3,0,0,0,0,0,2,0,0,0
一般 空间,General space,2,0,0,0,0,0,0,0,0,0
一般 缺点,General disadvantages,2,0,0,0,0,0,0,0,0,0
一般 网速,General Internet speed,2,0,0,0,0,0,0,0,0,0
一般 自助餐,Average buffet,6,0,0,0,0,0,0,0,6,0
一般 英文,General English,4,0,0,0,0,0,0,0,2,0
一般 英语,General English,11,0,0,0,0,2,3,5,0,0
一般 装修,General decoration,15,0,0,0,0,0,0,8,5,0
一般 设备,General equipment,6,0,0,0,0,0,0,0,2,0
一般 设施,General facilities,137,0,0,5,10,23,42,23,32,2
一般 话,General,2,0,0,0,0,0,0,0,2,0
一般 质量,General quality,6,0,0,0,0,0,0,0,4,0
一般 选择,General choice,2,0,0,0,0,0,0,2,0,0
一般 酒店,Average hotel,106,0,0,0,6,21,37,15,25,2
一般 隔音,Soundproof,9,0,0,0,0,2,3,0,2,0
一般 需求,General demand,3,0,0,0,0,2,0,0,0,0
一般 面积,General area,2,0,0,0,0,0,2,0,0,0
一般 风景,Average scenery,3,0,0,0,0,0,0,0,2,0
一般 食物,General food,3,0,0,0,0,0,0,2,0,0
一般 餐厅,Average restaurant,4,0,0,0,0,0,0,0,4,0
不 中文,No Chinese,15,0,0,0,0,0,6,4,3,0
中文,Chinese,733,0,0,9,26,93,155,94,337,19
价格,price,1838,0,0,31,98,296,472,326,561,54
华人,Chinese,15,0,0,0,0,3,2,2,8,0
地理,geography,691,0,0,10,31,125,164,110,239,12
没有 中文,no Chinese,30,0,0,2,0,4,4,8,9,3
没有 价格,No price,6,0,0,0,0,0,0,0,4,0
没有 距离,No distance,4,0,0,0,0,0,0,0,2,0
没有 陈旧,Not stale,11,0,0,0,0,0,0,4,4,0
老,old,297,0,0,2,30,26,55,45,134,5
老 先生,Old sir,2,0,0,0,0,0,0,0,2,0
老 外观,Old appearance,3,0,0,0,0,2,0,0,0,0
老 店,Old shop,15,0,0,0,0,0,3,3,7,0
老 建筑,Old building,4,0,0,0,3,0,0,0,0,0
老 感觉,Old feeling,4,0,0,0,0,0,0,0,2,0
老 房子,old house,2,0,0,0,0,0,0,0,0,0
老 房间,Old room,9,0,0,0,0,0,3,2,3,0
老 服务,Old service,2,0,0,0,0,0,0,0,2,0
老 楼,Old building,9,0,0,0,0,0,3,2,4,0
老 点,Old point,2,0,0,0,0,0,0,0,0,0
老 烟鬼,Old smoker,2,0,0,0,0,0,2,0,0,0
老 硬件,Old hardware,2,0,0,0,0,0,0,0,2,0
老 街,Old street,2,0,0,0,0,0,0,0,0,0
老 装修,Old decoration,11,0,0,0,0,0,0,0,9,0
老 设备,Old equipment,6,0,0,0,0,0,0,0,2,0
老 设施,Old facility,58,0,0,0,7,7,8,7,26,2
老 酒,Old wine,11,0,0,0,0,0,0,0,7,0
老 酒店,Old hotel,74,0,0,0,8,11,9,11,34,0
老 馆,Old hall,2,0,0,0,0,0,0,0,0,0
赤坂,Akasaka,2,0,0,0,0,0,2,0,0,0
距离,distance,434,0,0,11,43,84,116,68,97,15
陈旧,obsolete,319,0,0,0,34,43,75,71,90,6
陈旧 家具,Obsolete furniture,3,0,0,0,2,0,0,0,0,0
陈旧 感觉,Stale feeling,4,0,0,0,0,0,0,0,2,0
陈旧 房间,Outdated room,10,0,0,0,0,0,0,3,5,0
陈旧 点,Stale point,8,0,0,0,4,0,0,0,0,0
陈旧 装修,Old decoration,5,0,0,0,0,0,3,0,0,0
陈旧 设备,Obsolete equipment,18,0,0,0,2,3,7,5,0,0
陈旧 设施,Obsolete facilities,184,0,0,0,17,25,42,43,53,4
陈旧 酒店,Outdated hotel,10,0,0,0,2,2,2,2,2,0
